evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
60 km al N de Mina La Escondida.,-23.731 ,-69.041,2024-02-26,19:38:41,2024-02-26,22:38:41,100,km,3.0,Ml
32 km al O de OllagÃ¼e,-21.114 ,-68.537,2024-02-26,15:24:57,2024-02-26,18:24:57,134,km,3.1,Ml
76 km al E de Socaire,-23.813 ,-67.186,2024-02-26,14:35:32,2024-02-26,17:35:32,246,km,3.7,Ml
79 km al SE de Socaire,-23.927 ,-67.207,2024-02-26,13:53:33,2024-02-26,16:53:33,226,km,3.4,Ml
10 km al SO de Pozo Almonte,-20.296 ,-69.869,2024-02-26,13:38:43,2024-02-26,16:38:43,60,km,2.7,Ml
65 km al E de Alto del Carmen,-28.797 ,-69.819,2024-02-26,12:35:12,2024-02-26,15:35:12,141,km,4.0,Ml
22 km al NE de Mina Collahuasi,-20.741 ,-68.466,2024-02-26,11:23:54,2024-02-26,14:23:54,125,km,2.9,Ml
43 km al SO de OllagÃ¼e,-21.548 ,-68.477,2024-02-26,10:48:33,2024-02-26,13:48:33,131,km,2.9,Ml
54 km al O de La Ligua,-32.545 ,-71.798,2024-02-26,07:11:03,2024-02-26,10:11:03,27,km,2.5,Ml
106 km al S de Ilo,-18.602 ,-71.330,2024-02-26,06:31:24,2024-02-26,09:31:24,50,km,3.0,Ml
29 km al NE de La Higuera,-29.392 ,-70.931,2024-02-26,05:26:11,2024-02-26,08:26:11,66,km,2.6,Ml
60 km al O de Tongoy,-30.194 ,-72.110,2024-02-26,00:26:19,2024-02-26,03:26:19,36,km,3.0,Ml
40 km al SE de Mina Los Pelambres,-32.020 ,-70.231,2024-02-25,22:30:22,2024-02-26,01:30:22,124,km,3.6,Ml
47 km al SO de Mina Collahuasi,-21.119 ,-68.984,2024-02-25,22:17:59,2024-02-26,01:17:59,114,km,3.0,Ml
32 km al NO de OllagÃ¼e,-21.092 ,-68.530,2024-02-25,22:08:06,2024-02-26,01:08:06,138,km,3.3,Ml
28 km al E de Sierra Gorda.,-22.863 ,-69.051,2024-02-25,21:59:12,2024-02-26,00:59:12,92,km,2.9,Ml
