evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
6 km al O de Victoria,-38.221 ,-72.404,2024-02-07,19:04:12,2024-02-07,22:04:12,96,km,4.0,Ml
15 km al SE de Punitaqui,-30.947 ,-71.185,2024-02-07,18:03:43,2024-02-07,21:03:43,63,km,2.6,Ml
31 km al E de Sierra Gorda.,-22.876 ,-69.018,2024-02-07,17:36:09,2024-02-07,20:36:09,102,km,2.7,Ml
50 km al E de Quillagua,-21.817 ,-69.082,2024-02-07,17:29:09,2024-02-07,20:29:09,90,km,2.9,Ml
32 km al S de OllagÃ¼e,-21.515 ,-68.225,2024-02-07,17:24:37,2024-02-07,20:24:37,152,km,2.7,Ml
76 km al E de Socaire,-23.854 ,-67.205,2024-02-07,13:58:53,2024-02-07,16:58:53,223,km,2.9,Ml
32 km al NO de Socaire,-23.455 ,-68.166,2024-02-07,13:42:30,2024-02-07,16:42:30,166,km,2.9,Ml
52 km al S de CamiÃ±a,-19.775 ,-69.357,2024-02-07,11:56:53,2024-02-07,14:56:53,89,km,2.6,Ml
34 km al SO de Los Vilos,-32.094 ,-71.805,2024-02-07,10:26:17,2024-02-07,13:26:17,14,km,3.3,Ml
50 km al S de OllagÃ¼e,-21.652 ,-68.415,2024-02-07,10:00:10,2024-02-07,13:00:10,139,km,3.1,Ml
48 km al E de Pica,-20.419 ,-68.877,2024-02-07,09:17:24,2024-02-07,12:17:24,115,km,4.0,Ml
20 km al NE de Putre,-18.123 ,-69.385,2024-02-07,08:49:13,2024-02-07,11:49:13,136,km,2.8,Ml
27 km al NE de VichuquÃ©n,-34.689 ,-71.819,2024-02-07,08:34:16,2024-02-07,11:34:16,30,km,2.5,Ml
45 km al NE de San Pedro de Atacama,-22.570 ,-67.975,2024-02-07,07:53:18,2024-02-07,10:53:18,191,km,3.0,Ml
58 km al NE de Calama,-21.994 ,-68.694,2024-02-07,03:19:07,2024-02-07,06:19:07,107,km,2.6,Ml
87 km al SE de Socaire,-24.185 ,-67.338,2024-02-07,01:54:32,2024-02-07,04:54:32,220,km,2.8,Ml
68 km al SO de OllagÃ¼e,-21.645 ,-68.733,2024-02-07,00:37:05,2024-02-07,03:37:05,116,km,2.9,Ml
