evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
25 km al E de VichuquÃ©n,-34.813 ,-71.736,2023-04-11,19:37:00,2023-04-11,23:37:00,42,km,3.2,Ml
50 km al SO de Taltal,-25.728 ,-70.838,2023-04-11,18:43:15,2023-04-11,22:43:15,15,km,3.2,Ml
82 km al SE de Socaire,-24.169 ,-67.387,2023-04-11,18:03:49,2023-04-11,22:03:49,208,km,3.3,Ml
15 km al SO de ChaÃ±aral.,-26.449 ,-70.728,2023-04-11,17:08:15,2023-04-11,21:08:15,67,km,3.9,Ml
25 km al SE de Putre,-18.396 ,-69.447,2023-04-11,16:04:16,2023-04-11,20:04:16,115,km,2.7,Ml
69 km al SO de OllagÃ¼e,-21.764 ,-68.592,2023-04-11,15:38:22,2023-04-11,19:38:22,116,km,2.6,Ml
78 km al SE de Socaire,-24.226 ,-67.577,2023-04-11,14:48:04,2023-04-11,18:48:04,240,km,3.0,Ml
47 km al SO de Los Vilos,-32.281 ,-71.753,2023-04-11,14:12:55,2023-04-11,18:12:55,30,km,2.7,Ml
66 km al SE de Socaire,-24.140 ,-67.635,2023-04-11,13:28:48,2023-04-11,17:28:48,247,km,3.0,Ml
67 km al NE de Los Andes.,-32.368 ,-70.138,2023-04-11,12:41:34,2023-04-11,16:41:34,121,km,2.5,Ml
26 km al O de Canela Baja,-31.481 ,-71.714,2023-04-11,12:19:15,2023-04-11,16:19:15,34,km,4.3,Ml
288 km al SO de Melinka,-45.533 ,-76.573,2023-04-11,12:09:34,2023-04-11,16:09:34,10,km,2.8,Ml
32 km al S de Mina Collahuasi,-21.112 ,-68.701,2023-04-11,12:07:21,2023-04-11,16:07:21,129,km,4.1,Ml
120 km al E de Tierra Amarilla,-27.401 ,-69.051,2023-04-11,12:01:51,2023-04-11,16:01:51,129,km,3.3,Ml
71 km al E de Socaire,-23.799 ,-67.229,2023-04-11,11:37:11,2023-04-11,15:37:11,252,km,2.6,Ml
72 km al SE de Socaire,-24.158 ,-67.548,2023-04-11,10:55:00,2023-04-11,14:55:00,215,km,3.2,Ml
57 km al SO de OllagÃ¼e,-21.642 ,-68.580,2023-04-11,10:27:48,2023-04-11,14:27:48,126,km,2.6,Ml
29 km al N de Mina La Escondida.,-24.010 ,-69.107,2023-04-11,07:52:09,2023-04-11,11:52:09,92,km,4.4,Ml
33 km al S de Mina Collahuasi,-21.119 ,-68.629,2023-04-11,06:35:34,2023-04-11,10:35:34,116,km,4.0,Ml
30 km al NE de Quillagua,-21.511 ,-69.286,2023-04-11,04:22:35,2023-04-11,08:22:35,73,km,4.1,Ml
48 km al E de Sierra Gorda.,-22.953 ,-68.849,2023-04-11,02:31:29,2023-04-11,06:31:29,99,km,3.1,Ml
3 km al O de Ovalle,-30.607 ,-71.229,2023-04-11,01:42:07,2023-04-11,05:42:07,67,km,2.6,Ml
24 km al SO de Los Vilos,-32.090 ,-71.655,2023-04-11,01:35:58,2023-04-11,05:35:58,35,km,2.5,Ml
19 km al S de Cuya,-19.335 ,-70.167,2023-04-10,23:37:35,2023-04-11,03:37:35,13,km,3.3,Ml
64 km al NO de Quillagua,-21.252 ,-69.974,2023-04-10,21:06:00,2023-04-11,01:06:00,52,km,3.0,Ml
