evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
34 km al NE de Calama,-22.323 ,-68.642,2023-04-26,19:47:11,2023-04-26,23:47:11,114,km,2.5,Ml
63 km al O de Los Vilos,-31.795 ,-72.161,2023-04-26,19:32:32,2023-04-26,23:32:32,32,km,3.1,Ml
15 km al E de La Ligua,-32.436 ,-71.069,2023-04-26,17:03:58,2023-04-26,21:03:58,51,km,2.8,Ml
38 km al O de Arica,-18.539 ,-70.674,2023-04-26,12:50:11,2023-04-26,16:50:11,33,km,3.1,Ml
50 km al S de Mina Collahuasi,-21.261 ,-68.795,2023-04-26,11:09:55,2023-04-26,15:09:55,120,km,2.7,Ml
69 km al SE de Socaire,-24.146 ,-67.583,2023-04-26,09:32:08,2023-04-26,13:32:08,238,km,3.3,Ml
35 km al S de ChaÃ±aral.,-26.655 ,-70.705,2023-04-26,08:57:51,2023-04-26,12:57:51,36,km,3.7,Ml
8 km al SO de Huasco,-28.497 ,-71.289,2023-04-26,07:58:28,2023-04-26,11:58:28,32,km,3.3,Ml
47 km al O de Los Vilos,-31.829 ,-72.004,2023-04-26,05:10:55,2023-04-26,09:10:55,36,km,3.0,Ml
35 km al O de OllagÃ¼e,-21.224 ,-68.591,2023-04-26,02:04:51,2023-04-26,06:04:51,117,km,3.3,Ml
31 km al S de Calama,-22.743 ,-68.882,2023-04-25,23:38:24,2023-04-26,03:38:24,107,km,3.3,Ml
37 km al O de Punitaqui,-30.726 ,-71.629,2023-04-25,22:16:05,2023-04-26,02:16:05,33,km,3.4,Ml
125 km al O de ValparaÃ­so,-32.697 ,-72.888,2023-04-25,21:43:11,2023-04-26,01:43:11,11,km,2.9,Ml
