evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
23 km al O de Canela Baja,-31.472 ,-71.682,2023-04-30,18:40:15,2023-04-30,22:40:15,35,km,2.5,Ml
93 km al SE de Socaire,-24.227 ,-67.296,2023-04-30,17:35:25,2023-04-30,21:35:25,214,km,3.6,Ml
52 km al NE de OllagÃ¼e,-20.809 ,-68.014,2023-04-30,14:03:03,2023-04-30,18:03:03,183,km,4.3,Ml
8 km al O de Baquedano,-23.344 ,-69.918,2023-04-30,12:39:10,2023-04-30,16:39:10,49,km,4.6,Ml
43 km al S de CamiÃ±a,-19.699 ,-69.387,2023-04-30,07:05:22,2023-04-30,11:05:22,91,km,2.5,Ml
31 km al E de Mejillones,-23.014 ,-70.165,2023-04-30,06:36:59,2023-04-30,10:36:59,50,km,2.6,Ml
61 km al NE de Calama,-22.013 ,-68.608,2023-04-30,06:09:13,2023-04-30,10:09:13,111,km,2.8,Ml
39 km al SE de Pica,-20.704 ,-69.029,2023-04-30,06:04:47,2023-04-30,10:04:47,92,km,2.5,Ml
21 km al O de Canela Baja,-31.475 ,-71.659,2023-04-30,00:45:38,2023-04-30,04:45:38,42,km,3.3,Ml
34 km al NE de Vallenar,-28.366 ,-70.507,2023-04-29,23:37:36,2023-04-30,03:37:36,77,km,3.3,Ml
34 km al O de Pica,-20.564 ,-69.644,2023-04-29,22:53:28,2023-04-30,02:53:28,87,km,2.6,Ml
118 km al NO de ConstituciÃ³n,-34.843 ,-73.567,2023-04-29,21:41:46,2023-04-30,01:41:46,20,km,2.9,Ml
82 km al SE de Socaire,-24.117 ,-67.330,2023-04-29,21:24:00,2023-04-30,01:24:00,212,km,3.4,Ml
49 km al SO de OllagÃ¼e,-21.603 ,-68.492,2023-04-29,21:11:07,2023-04-30,01:11:07,130,km,3.9,Ml
54 km al S de OllagÃ¼e,-21.698 ,-68.382,2023-04-29,20:10:25,2023-04-30,00:10:25,126,km,2.5,Ml
