evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
38 km al O de Tir̼a,-38.310 ,-73.927,2023-09-09,19:48:36,2023-09-09,22:48:36,6,km,3.0,Ml
43 km al O de Tir̼a,-38.326 ,-73.992,2023-09-09,18:30:27,2023-09-09,21:30:27,9,km,2.7,Ml
62 km al E de Tierra Amarilla,-27.703 ,-69.692,2023-09-09,18:18:49,2023-09-09,21:18:49,118,km,2.7,Ml
29 km al S de Melipilla,-33.934 ,-71.302,2023-09-09,17:03:13,2023-09-09,20:03:13,55,km,4.2,Ml
19 km al S de Cobquecura,-36.298 ,-72.820,2023-09-09,12:53:18,2023-09-09,15:53:18,40,km,3.0,Ml
62 km al NO de Tocopilla,-21.657 ,-70.567,2023-09-09,12:12:04,2023-09-09,15:12:04,32,km,2.5,Ml
44 km al SO de Mina Collahuasi,-21.077 ,-68.982,2023-09-09,11:54:41,2023-09-09,14:54:41,108,km,2.9,Ml
53 km al NE de Calama,-22.029 ,-68.746,2023-09-09,09:26:21,2023-09-09,12:26:21,117,km,3.0,Ml
119 km al SE de Tierra Amarilla,-28.185 ,-69.349,2023-09-09,07:49:39,2023-09-09,10:49:39,107,km,3.0,Ml
39 km al SE de Paihuano,-30.244 ,-70.195,2023-09-09,06:34:20,2023-09-09,09:34:20,101,km,3.0,Ml
57 km al N de Quillagua,-21.145 ,-69.563,2023-09-09,05:32:12,2023-09-09,08:32:12,86,km,3.9,Ml
92 km al NE de Paihuano,-29.603 ,-69.698,2023-09-09,04:10:42,2023-09-09,07:10:42,125,km,2.9,Ml
57 km al N de Calama,-21.985 ,-68.747,2023-09-09,03:32:31,2023-09-09,06:32:31,121,km,2.7,Ml
56 km al NE de Vallenar,-28.116 ,-70.518,2023-09-08,22:39:22,2023-09-09,01:39:22,79,km,2.7,Ml
