evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
58 km al SO de Huasco,-28.947 ,-71.459,2023-09-27,20:58:02,2023-09-27,23:58:02,25,km,2.9,Ml
27 km al SE de Cobquecura,-36.348 ,-72.653,2023-09-27,20:49:34,2023-09-27,23:49:34,40,km,2.9,Ml
61 km al E de San FabiÃ¡n,-36.687 ,-70.893,2023-09-27,19:40:18,2023-09-27,22:40:18,128,km,2.6,Ml
14 km al SE de Pica,-20.558 ,-69.222,2023-09-27,19:35:54,2023-09-27,22:35:54,106,km,3.3,Ml
70 km al SO de OllagÃ¼e,-21.708 ,-68.682,2023-09-27,18:50:20,2023-09-27,21:50:20,134,km,2.9,Ml
34 km al NO de Los Vilos,-31.739 ,-71.806,2023-09-27,18:03:02,2023-09-27,21:03:02,35,km,3.1,Ml
31 km al SO de Los Vilos,-32.139 ,-71.705,2023-09-27,17:26:35,2023-09-27,20:26:35,23,km,3.3,Ml
37 km al NO de Los Vilos,-31.747 ,-71.848,2023-09-27,16:30:15,2023-09-27,19:30:15,32,km,2.8,Ml
36 km al O de Mina Collahuasi,-20.711 ,-68.977,2023-09-27,15:30:43,2023-09-27,18:30:43,97,km,3.7,Ml
10 km al SO de Visviri,-17.633 ,-69.573,2023-09-27,14:53:06,2023-09-27,17:53:06,163,km,2.5,Ml
40 km al SO de Mina Collahuasi,-21.100 ,-68.908,2023-09-27,12:36:08,2023-09-27,15:36:08,111,km,3.6,Ml
43 km al S de Tierra Amarilla,-27.866 ,-70.258,2023-09-27,12:23:04,2023-09-27,15:23:04,101,km,3.0,Ml
39 km al O de Los Vilos,-31.762 ,-71.886,2023-09-27,11:33:38,2023-09-27,14:33:38,34,km,3.6,Ml
66 km al NE de Calama,-21.918 ,-68.689,2023-09-27,11:19:39,2023-09-27,14:19:39,98,km,3.1,Ml
25 km al NE de Petorca,-32.103 ,-70.730,2023-09-27,08:08:20,2023-09-27,11:08:20,102,km,2.7,Ml
16 km al SE de Tongoy,-30.377 ,-71.409,2023-09-27,05:27:45,2023-09-27,08:27:45,44,km,3.4,Ml
30 km al SO de OllagÃ¼e,-21.451 ,-68.403,2023-09-27,03:32:09,2023-09-27,06:32:09,133,km,3.2,Ml
35 km al NO de Calama,-22.334 ,-69.234,2023-09-27,01:49:28,2023-09-27,04:49:28,85,km,3.2,Ml
42 km al SE de El Salvador,-26.595 ,-69.459,2023-09-27,00:16:33,2023-09-27,03:16:33,10,km,3.2,Ml
61 km al SO de Caldera,-27.463 ,-71.251,2023-09-26,23:59:53,2023-09-27,02:59:53,45,km,2.8,Ml
48 km al SE de Tierra Amarilla,-27.861 ,-70.031,2023-09-26,23:51:46,2023-09-27,02:51:46,103,km,3.6,Ml
35 km al N de Mina Collahuasi,-20.515 ,-68.632,2023-09-26,23:04:36,2023-09-27,02:04:36,135,km,2.7,Ml
