evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
41 km al E de Pica,-20.480 ,-68.932,2023-09-11,18:22:57,2023-09-11,21:22:57,109,km,2.8,Ml
27 km al SO de Caldera,-27.171 ,-71.065,2023-09-11,17:35:57,2023-09-11,20:35:57,47,km,3.6,Ml
48 km al SO de Caldera,-27.261 ,-71.259,2023-09-11,16:17:01,2023-09-11,19:17:01,29,km,2.8,Ml
47 km al SO de Caldera,-27.255 ,-71.253,2023-09-11,14:40:14,2023-09-11,17:40:14,29,km,3.0,Ml
36 km al O de Caldera,-27.182 ,-71.163,2023-09-11,12:00:15,2023-09-11,15:00:15,43,km,2.6,Ml
43 km al O de Caldera,-27.225 ,-71.222,2023-09-11,10:56:26,2023-09-11,13:56:26,29,km,2.6,Ml
42 km al O de Caldera,-27.195 ,-71.221,2023-09-11,10:37:09,2023-09-11,13:37:09,30,km,5.3,Mw
2 km al SE de CuricÃ³,-35.002 ,-71.224,2023-09-11,08:10:21,2023-09-11,11:10:21,84,km,2.6,Ml
45 km al O de Caldera,-27.127 ,-71.270,2023-09-11,03:34:59,2023-09-11,06:34:59,43,km,2.6,Ml
35 km al E de Talca,-35.402 ,-71.279,2023-09-11,02:17:53,2023-09-11,05:17:53,93,km,3.0,Ml
32 km al O de Mina Collahuasi,-20.916 ,-68.951,2023-09-11,01:52:38,2023-09-11,04:52:38,102,km,2.6,Ml
164 km al O de La Rioja,-29.259 ,-68.547,2023-09-11,01:28:19,2023-09-11,04:28:19,151,km,4.3,Mw
9 km al NO de San Pedro de Atacama,-22.864 ,-68.263,2023-09-10,23:49:38,2023-09-11,02:49:38,127,km,2.9,Ml
46 km al SO de Mina Collahuasi,-21.156 ,-68.932,2023-09-10,23:35:27,2023-09-11,02:35:27,107,km,2.5,Ml
34 km al SO de Los Vilos,-32.138 ,-71.751,2023-09-10,23:26:53,2023-09-11,02:26:53,24,km,3.9,Ml
34 km al SO de Los Vilos,-32.127 ,-71.763,2023-09-10,23:05:33,2023-09-11,02:05:33,29,km,2.6,Ml
32 km al SO de Los Vilos,-32.141 ,-71.720,2023-09-10,22:56:46,2023-09-11,01:56:46,24,km,4.8,Ml
100 km al SE de Socaire,-24.316 ,-67.311,2023-09-10,21:01:37,2023-09-11,00:01:37,219,km,3.4,Ml
