evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
79 km al SE de Socaire,-24.235 ,-67.565,2023-09-12,20:09:04,2023-09-12,23:09:04,225,km,4.0,Ml
56 km al SO de Mina Collahuasi,-21.267 ,-68.910,2023-09-12,13:31:45,2023-09-12,16:31:45,126,km,3.1,Ml
63 km al E de La Higuera,-29.342 ,-70.576,2023-09-12,11:53:45,2023-09-12,14:53:45,88,km,2.5,Ml
18 km al O de La Ligua,-32.415 ,-71.414,2023-09-12,11:45:34,2023-09-12,14:45:34,49,km,2.7,Ml
63 km al N de Pica,-19.935 ,-69.193,2023-09-12,10:17:50,2023-09-12,13:17:50,95,km,2.5,Ml
32 km al S de Linares,-36.134 ,-71.647,2023-09-12,09:27:23,2023-09-12,12:27:23,87,km,3.1,Ml
53 km al SO de OllagÃ¼e,-21.617 ,-68.551,2023-09-12,09:19:02,2023-09-12,12:19:02,132,km,4.0,Ml
9 km al SE de Caldera,-27.120 ,-70.759,2023-09-12,08:57:38,2023-09-12,11:57:38,40,km,2.5,Ml
80 km al O de La Serena,-29.629 ,-72.016,2023-09-12,08:11:00,2023-09-12,11:11:00,28,km,2.8,Ml
35 km al O de Punitaqui,-30.957 ,-71.588,2023-09-12,07:40:55,2023-09-12,10:40:55,41,km,2.5,Ml
29 km al O de Caldera,-27.164 ,-71.092,2023-09-12,05:56:25,2023-09-12,08:56:25,44,km,2.9,Ml
28 km al E de Colina,-33.102 ,-70.400,2023-09-12,05:44:01,2023-09-12,08:44:01,108,km,3.4,Ml
35 km al O de Caldera,-27.136 ,-71.167,2023-09-12,04:06:35,2023-09-12,07:06:35,43,km,2.6,Ml
27 km al E de Sierra Gorda.,-22.993 ,-69.068,2023-09-12,02:18:56,2023-09-12,05:18:56,128,km,3.9,Ml
30 km al N de Mina Collahuasi,-20.570 ,-68.736,2023-09-12,01:58:40,2023-09-12,04:58:40,116,km,5.3,Mw
45 km al SO de Mina Collahuasi,-21.167 ,-68.897,2023-09-12,01:30:43,2023-09-12,04:30:43,118,km,2.9,Ml
51 km al E de Rancagua,-34.238 ,-70.193,2023-09-12,00:34:29,2023-09-12,03:34:29,121,km,2.8,Ml
19 km al S de Canela Baja,-31.564 ,-71.522,2023-09-11,23:00:57,2023-09-12,02:00:57,42,km,2.7,Ml
53 km al N de Pica,-20.022 ,-69.239,2023-09-11,22:57:36,2023-09-12,01:57:36,86,km,2.8,Ml
52 km al S de Mina Collahuasi,-21.279 ,-68.770,2023-09-11,22:20:22,2023-09-12,01:20:22,112,km,3.2,Ml
23 km al O de Caldera,-27.118 ,-71.050,2023-09-11,22:17:06,2023-09-12,01:17:06,54,km,2.7,Ml
35 km al O de OllagÃ¼e,-21.231 ,-68.588,2023-09-11,21:41:41,2023-09-12,00:41:41,110,km,3.7,Ml
29 km al O de Caldera,-27.171 ,-71.094,2023-09-11,21:03:15,2023-09-12,00:03:15,48,km,2.7,Ml
