evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
66 km al SO de Mina Collahuasi,-21.345 ,-68.975,2024-07-02,19:36:48,2024-07-02,23:36:48,113,km,2.8,Ml
34 km al NE de Calama,-22.287 ,-68.660,2024-07-02,19:32:42,2024-07-02,23:32:42,120,km,2.5,Ml
6 km al O de Panguipulli,-39.663 ,-72.394,2024-07-02,19:12:10,2024-07-02,23:12:10,93,km,3.0,Ml
26 km al S de Mina Collahuasi,-21.054 ,-68.712,2024-07-02,18:52:35,2024-07-02,22:52:35,118,km,3.1,Ml
28 km al NO de Los Vilos,-31.746 ,-71.735,2024-07-02,18:42:44,2024-07-02,22:42:44,32,km,4.4,Ml
8 km al NE de La Serena,-29.849 ,-71.199,2024-07-02,16:59:13,2024-07-02,20:59:13,59,km,2.8,Ml
32 km al N de OllagÃ¼e,-20.940 ,-68.310,2024-07-02,16:54:56,2024-07-02,20:54:56,147,km,2.7,Ml
57 km al O de Isla Guamblin,-44.747 ,-75.786,2024-07-02,16:39:19,2024-07-02,20:39:19,24,km,3.3,Ml
16 km al O de CuricÃ³,-35.005 ,-71.413,2024-07-02,16:07:16,2024-07-02,20:07:16,106,km,2.6,Ml
64 km al S de Socaire,-24.154 ,-67.774,2024-07-02,12:17:49,2024-07-02,16:17:49,259,km,4.0,Ml
51 km al SE de Sierra Gorda,-23.164 ,-68.922,2024-07-02,12:01:36,2024-07-02,16:01:36,100,km,2.8,Ml
46 km al SO de OllagÃ¼e,-21.547 ,-68.534,2024-07-02,11:03:30,2024-07-02,15:03:30,136,km,3.7,Ml
58 km al SE de Socaire,-24.077 ,-67.677,2024-07-02,10:11:54,2024-07-02,14:11:54,243,km,2.7,Ml
29 km al NO de Quintero,-32.657 ,-71.799,2024-07-02,06:32:57,2024-07-02,10:32:57,24,km,3.5,Ml
76 km al E de Mina La Escondida,-24.281 ,-68.309,2024-07-02,05:36:14,2024-07-02,09:36:14,3,km,3.5,Ml
27 km al N de Pica,-20.254 ,-69.267,2024-07-02,04:16:16,2024-07-02,08:16:16,91,km,2.8,Ml
34 km al NO de Antofagasta,-23.480 ,-70.678,2024-07-02,02:04:13,2024-07-02,06:04:13,43,km,2.9,Ml
28 km al SO de Mina Collahuasi,-20.981 ,-68.876,2024-07-01,22:52:46,2024-07-02,02:52:46,96,km,2.7,Ml
43 km al O de Mina Collahuasi,-20.897 ,-69.068,2024-07-01,22:49:37,2024-07-02,02:49:37,108,km,3.5,Ml
24 km al SO de Mejillones,-23.263 ,-70.600,2024-07-01,22:41:51,2024-07-02,02:41:51,39,km,2.7,Ml
49 km al SO de Mina Collahuasi,-21.233 ,-68.842,2024-07-01,21:42:33,2024-07-02,01:42:33,118,km,3.8,Ml
34 km al O de Quintero,-32.668 ,-71.868,2024-07-01,21:08:34,2024-07-02,01:08:34,24,km,2.8,Ml
