evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
33 km al SO de Huasco,-28.727 ,-71.371,2024-07-07,19:17:57,2024-07-07,23:17:57,31,km,2.6,Ml
55 km al SO de Mina Collahuasi,-21.209 ,-68.996,2024-07-07,17:54:38,2024-07-07,21:54:38,96,km,2.6,Ml
21 km al NO de Pichilemu,-34.219 ,-72.125,2024-07-07,17:25:01,2024-07-07,21:25:01,28,km,2.6,Ml
47 km al SO de Mina Collahuasi,-21.152 ,-68.952,2024-07-07,16:40:37,2024-07-07,20:40:37,111,km,2.9,Ml
72 km al NE de Calama,-21.953 ,-68.512,2024-07-07,12:57:33,2024-07-07,16:57:33,119,km,2.6,Ml
44 km al O de Mina Collahuasi,-20.891 ,-69.073,2024-07-07,12:41:00,2024-07-07,16:41:00,99,km,2.6,Ml
22 km al NO de OllagÃ¼e,-21.124 ,-68.433,2024-07-07,11:03:18,2024-07-07,15:03:18,136,km,2.8,Ml
27 km al N de Carrizal Bajo,-27.842 ,-71.165,2024-07-07,10:28:06,2024-07-07,14:28:06,39,km,4.1,Ml
55 km al SE de Socaire,-24.004 ,-67.593,2024-07-07,06:21:23,2024-07-07,10:21:23,237,km,3.6,Ml
53 km al O de OllagÃ¼e,-21.393 ,-68.736,2024-07-07,06:14:25,2024-07-07,10:14:25,120,km,2.8,Ml
60 km al NO de Parque Fray Jorge,-30.300 ,-72.145,2024-07-07,06:05:16,2024-07-07,10:05:16,50,km,3.5,Ml
35 km al O de Quintero,-32.712 ,-71.887,2024-07-07,05:41:15,2024-07-07,09:41:15,26,km,3.0,Ml
33 km al S de Pica,-20.782 ,-69.266,2024-07-07,04:42:39,2024-07-07,08:42:39,100,km,2.9,Ml
40 km al NE de Calama,-22.232 ,-68.636,2024-07-07,03:25:02,2024-07-07,07:25:02,121,km,3.3,Ml
34 km al SE de Pica,-20.746 ,-69.151,2024-07-07,03:02:49,2024-07-07,07:02:49,109,km,3.3,Ml
23 km al O de Navidad,-33.885 ,-72.066,2024-07-07,02:52:54,2024-07-07,06:52:54,39,km,3.6,Ml
13 km al NO de El Tabo,-33.378 ,-71.772,2024-07-07,00:29:27,2024-07-07,04:29:27,28,km,4.3,Ml
16 km al NO de El Tabo,-33.362 ,-71.801,2024-07-07,00:26:17,2024-07-07,04:26:17,36,km,3.9,Ml
57 km al N de Carrizal Bajo,-27.583 ,-71.261,2024-07-07,00:19:10,2024-07-07,04:19:10,26,km,3.2,Ml
15 km al NO de El Tabo,-33.369 ,-71.793,2024-07-07,00:10:58,2024-07-07,04:10:58,33,km,2.5,Ml
41 km al NE de Calama,-22.174 ,-68.694,2024-07-06,23:32:03,2024-07-07,03:32:03,123,km,3.0,Ml
6 km al O de Pichidangui,-32.135 ,-71.592,2024-07-06,23:18:42,2024-07-07,03:18:42,15,km,2.9,Ml
32 km al S de Mina Collahuasi,-21.108 ,-68.712,2024-07-06,21:46:09,2024-07-07,01:46:09,119,km,2.6,Ml
