evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
32 km al NO de Arauco,-37.066 ,-73.596,2024-07-28,19:53:50,2024-07-28,23:53:50,25,km,2.9,Ml
29 km al SE de Cauquenes,-36.187 ,-72.138,2024-07-28,16:23:02,2024-07-28,20:23:02,55,km,2.8,Ml
28 km al S de Pica,-20.736 ,-69.267,2024-07-28,14:36:15,2024-07-28,18:36:15,99,km,2.7,Ml
61 km al E de San Pedro de Atacama,-23.044 ,-67.621,2024-07-28,12:37:02,2024-07-28,16:37:02,235,km,3.3,Ml
21 km al S de CamiÃ±a,-19.490 ,-69.490,2024-07-28,11:50:04,2024-07-28,15:50:04,97,km,2.8,Ml
60 km al O de San Antonio de los Cobres,-24.439 ,-66.862,2024-07-28,11:27:05,2024-07-28,15:27:05,186,km,3.6,Ml
66 km al SE de Sierra Gorda,-23.417 ,-69.020,2024-07-28,11:08:11,2024-07-28,15:08:11,123,km,2.5,Ml
85 km al E de Socaire,-23.865 ,-67.115,2024-07-28,10:47:12,2024-07-28,14:47:12,245,km,4.0,Ml
16 km al S de Mina Collahuasi,-20.967 ,-68.707,2024-07-28,09:49:17,2024-07-28,13:49:17,124,km,3.2,Ml
55 km al N de Pica,-20.007 ,-69.219,2024-07-28,09:32:32,2024-07-28,13:32:32,95,km,2.8,Ml
34 km al S de Sierra Gorda,-23.181 ,-69.233,2024-07-28,09:29:10,2024-07-28,13:29:10,84,km,3.8,Ml
34 km al O de Calama,-22.516 ,-69.260,2024-07-28,09:17:19,2024-07-28,13:17:19,90,km,3.0,Ml
21 km al SO de ValparaÃ­so,-33.204 ,-71.747,2024-07-28,09:01:28,2024-07-28,13:01:28,38,km,3.0,Ml
71 km al NE de Vallenar,-28.164 ,-70.202,2024-07-28,08:17:17,2024-07-28,12:17:17,101,km,2.5,Ml
52 km al SO de OllagÃ¼e,-21.656 ,-68.438,2024-07-28,08:03:10,2024-07-28,12:03:10,124,km,3.3,Ml
107 km al O de Huasco,-28.185 ,-72.270,2024-07-28,04:43:01,2024-07-28,08:43:01,36,km,2.7,Ml
123 km al NE de Socaire,-22.877 ,-66.967,2024-07-28,04:20:11,2024-07-28,08:20:11,212,km,2.7,Ml
69 km al SO de Punta de Choros,-29.646 ,-72.015,2024-07-28,01:46:17,2024-07-28,05:46:17,38,km,2.9,Ml
52 km al SE de Isla Guamblin,-45.271 ,-74.791,2024-07-27,23:54:44,2024-07-28,03:54:44,19,km,3.7,Ml
78 km al SE de Socaire,-24.110 ,-67.374,2024-07-27,23:53:44,2024-07-28,03:53:44,234,km,3.6,Ml
50 km al O de ValparaÃ­so,-32.971 ,-72.140,2024-07-27,23:10:10,2024-07-28,03:10:10,31,km,2.9,Ml
30 km al N de Socaire,-23.322 ,-67.888,2024-07-27,21:18:21,2024-07-28,01:18:21,147,km,3.2,Ml
33 km al NE de Pica,-20.238 ,-69.162,2024-07-27,21:14:13,2024-07-28,01:14:13,100,km,3.3,Ml
48 km al O de ValparaÃ­so,-32.964 ,-72.121,2024-07-27,20:48:35,2024-07-28,00:48:35,27,km,3.8,Ml
