evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
23 km al S de Salamanca,-31.980 ,-71.019,2024-07-19,19:29:25,2024-07-19,23:29:25,64,km,2.5,Ml
27 km al S de CamiÃ±a,-19.545 ,-69.501,2024-07-19,18:26:43,2024-07-19,22:26:43,85,km,2.5,Ml
33 km al S de San Pedro de Atacama,-23.209 ,-68.135,2024-07-19,16:41:17,2024-07-19,20:41:17,172,km,2.9,Ml
20 km al O de Putre,-18.177 ,-69.745,2024-07-19,16:31:57,2024-07-19,20:31:57,118,km,2.9,Ml
72 km al SO de OllagÃ¼e,-21.815 ,-68.547,2024-07-19,15:24:57,2024-07-19,19:24:57,120,km,3.0,Ml
22 km al SE de San Pedro de Atacama,-23.103 ,-68.122,2024-07-19,15:10:50,2024-07-19,19:10:50,157,km,2.8,Ml
55 km al N de Mejillones,-22.624 ,-70.582,2024-07-19,14:53:54,2024-07-19,18:53:54,12,km,4.4,Mw
35 km al S de Pica,-20.788 ,-69.222,2024-07-19,14:53:51,2024-07-19,18:53:51,111,km,2.8,Ml
43 km al SE de Putre,-18.514 ,-69.320,2024-07-19,14:47:52,2024-07-19,18:47:52,111,km,3.1,Ml
54 km al NO de Mejillones,-22.645 ,-70.644,2024-07-19,13:58:27,2024-07-19,17:58:27,15,km,4.2,Mw
48 km al O de Canela Baja,-31.407 ,-71.965,2024-07-19,12:53:24,2024-07-19,16:53:24,42,km,3.0,Ml
66 km al NE de Quillagua,-21.322 ,-69.009,2024-07-19,12:43:47,2024-07-19,16:43:47,107,km,3.7,Ml
95 km al NE de Mina Collahuasi,-20.123 ,-68.144,2024-07-19,12:05:29,2024-07-19,16:05:29,185,km,4.2,Mw
4 km al O de San Pedro de Atacama,-22.936 ,-68.239,2024-07-19,12:03:41,2024-07-19,16:03:41,123,km,2.6,Ml
33 km al O de Canela Baja,-31.307 ,-71.787,2024-07-19,11:12:24,2024-07-19,15:12:24,31,km,2.6,Ml
86 km al O de San Antonio de los Cobres,-23.952 ,-67.109,2024-07-19,11:10:17,2024-07-19,15:10:17,216,km,3.1,Ml
