evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
28 km al NE de Calama,-22.362 ,-68.680,2024-10-26,20:07:44,2024-10-26,23:07:44,116,km,3.0,Ml
42 km al SO de Mina Collahuasi,-21.097 ,-68.938,2024-10-26,18:16:35,2024-10-26,21:16:35,111,km,2.8,Ml
51 km al N de Carrizal Bajo,-27.629 ,-71.165,2024-10-26,15:49:42,2024-10-26,18:49:42,17,km,2.8,Ml
52 km al SO de OllagÃ¼e,-21.641 ,-68.492,2024-10-26,10:26:24,2024-10-26,13:26:24,119,km,2.5,Ml
85 km al NO de Caleta El Cobre,-23.867 ,-71.248,2024-10-26,09:53:17,2024-10-26,12:53:17,10,km,2.7,Ml
53 km al SO de Mina Collahuasi,-21.137 ,-69.045,2024-10-26,07:57:05,2024-10-26,10:57:05,96,km,2.5,Ml
29 km al SE de MarÃ­a Elena,-22.573 ,-69.531,2024-10-26,07:53:57,2024-10-26,10:53:57,49,km,2.9,Ml
25 km al NE de VichuquÃ©n,-34.769 ,-71.763,2024-10-26,07:13:52,2024-10-26,10:13:52,45,km,3.8,Ml
23 km al E de Andacollo,-30.233 ,-70.848,2024-10-26,07:01:03,2024-10-26,10:01:03,84,km,2.5,Ml
43 km al NO de CamiÃ±a,-18.972 ,-69.622,2024-10-26,00:08:04,2024-10-26,03:08:04,95,km,2.9,M
65 km al SE de Socaire,-23.928 ,-67.371,2024-10-25,21:21:34,2024-10-26,00:21:34,232,km,2.7,Ml
