evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
84 km al NE de Socaire,-23.118 ,-67.243,2023-10-28,20:34:54,2023-10-28,23:34:54,253,km,3.1,Ml
46 km al O de OllagÃ¼e,-21.244 ,-68.700,2023-10-28,19:44:36,2023-10-28,22:44:36,124,km,2.9,Ml
63 km al O de Quillagua,-21.449 ,-70.095,2023-10-28,19:18:55,2023-10-28,22:18:55,39,km,2.6,Ml
24 km al NO de San Pedro de Atacama,-22.818 ,-68.410,2023-10-28,17:19:23,2023-10-28,20:19:23,113,km,3.7,Ml
39 km al S de Mina Collahuasi,-21.171 ,-68.718,2023-10-28,17:14:55,2023-10-28,20:14:55,115,km,3.8,Ml
42 km al NE de Tocopilla,-21.897 ,-69.853,2023-10-28,16:17:37,2023-10-28,19:17:37,64,km,4.5,Mw
56 km al NE de Mejillones,-22.832 ,-69.987,2023-10-28,15:46:56,2023-10-28,18:46:56,30,km,2.9,Ml
30 km al SE de OllagÃ¼e,-21.355 ,-68.005,2023-10-28,13:16:02,2023-10-28,16:16:02,172,km,3.8,Ml
57 km al SO de Arica,-18.872 ,-70.671,2023-10-28,11:11:47,2023-10-28,14:11:47,28,km,2.8,Ml
11 km al S de Cuya,-19.254 ,-70.208,2023-10-28,10:41:26,2023-10-28,13:41:26,51,km,3.0,Ml
33 km al SO de OllagÃ¼e,-21.497 ,-68.387,2023-10-28,10:02:31,2023-10-28,13:02:31,123,km,2.7,Ml
45 km al SO de Lebu,-37.802 ,-74.113,2023-10-28,07:17:11,2023-10-28,10:17:11,28,km,2.9,Ml
60 km al NE de Pica,-20.076 ,-68.954,2023-10-28,06:59:23,2023-10-28,09:59:23,108,km,4.3,Ml
42 km al NE de Calama,-22.183 ,-68.662,2023-10-28,04:36:24,2023-10-28,07:36:24,110,km,3.2,Ml
58 km al O de Cobquecura,-35.904 ,-73.376,2023-10-28,02:56:27,2023-10-28,05:56:27,32,km,3.2,Ml
21 km al N de Tongoy,-30.068 ,-71.453,2023-10-27,23:23:09,2023-10-28,02:23:09,40,km,2.7,Ml
17 km al NE de San JosÃ© de Maipo,-33.527 ,-70.230,2023-10-27,21:49:36,2023-10-28,00:49:36,130,km,3.9,Ml
