evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
26 km al E de Talca,-35.494 ,-71.396,2023-10-13,20:27:13,2023-10-13,23:27:13,100,km,2.9,Ml
33 km al SE de Pica,-20.722 ,-69.130,2023-10-13,18:22:36,2023-10-13,21:22:36,98,km,2.5,Ml
30 km al SE de Pica,-20.701 ,-69.149,2023-10-13,18:10:58,2023-10-13,21:10:58,102,km,3.3,Ml
51 km al SE de Socaire,-24.015 ,-67.692,2023-10-13,17:50:22,2023-10-13,20:50:22,246,km,3.4,Ml
42 km al NO de Taltal,-25.175 ,-70.817,2023-10-13,17:43:59,2023-10-13,20:43:59,50,km,3.4,Ml
56 km al NE de Pica,-20.032 ,-69.106,2023-10-13,17:02:10,2023-10-13,20:02:10,100,km,3.8,Ml
20 km al NE de CamiÃ±a,-19.199 ,-69.275,2023-10-13,16:44:47,2023-10-13,19:44:47,102,km,2.5,Ml
26 km al O de OllagÃ¼e,-21.288 ,-68.494,2023-10-13,16:32:30,2023-10-13,19:32:30,119,km,3.1,Ml
24 km al NE de Sierra Gorda.,-22.735 ,-69.162,2023-10-13,16:29:49,2023-10-13,19:29:49,101,km,2.5,Ml
51 km al SO de OllagÃ¼e,-21.645 ,-68.452,2023-10-13,15:30:02,2023-10-13,18:30:02,140,km,3.2,Ml
14 km al E de Linares,-35.869 ,-71.450,2023-10-13,14:25:17,2023-10-13,17:25:17,110,km,2.7,Ml
59 km al SE de Socaire,-23.983 ,-67.498,2023-10-13,13:21:19,2023-10-13,16:21:19,265,km,3.0,Ml
60 km al N de Calama,-21.932 ,-68.958,2023-10-13,12:22:29,2023-10-13,15:22:29,103,km,3.1,Ml
50 km al SE de Socaire,-23.982 ,-67.644,2023-10-13,11:59:26,2023-10-13,14:59:26,294,km,2.9,Ml
43 km al O de La Ligua,-32.487 ,-71.684,2023-10-13,11:40:29,2023-10-13,14:40:29,34,km,2.5,Ml
92 km al NE de San Pedro de Atacama,-22.218 ,-67.729,2023-10-13,11:04:03,2023-10-13,14:04:03,210,km,2.9,Ml
52 km al S de Sierra Gorda.,-23.371 ,-69.315,2023-10-13,09:40:24,2023-10-13,12:40:24,82,km,2.5,Ml
39 km al O de Sierra Gorda.,-22.763 ,-69.670,2023-10-13,09:02:33,2023-10-13,12:02:33,58,km,2.5,Ml
146 km al O de ConstituciÃ³n,-34.998 ,-73.967,2023-10-13,08:25:18,2023-10-13,11:25:18,27,km,2.9,Ml
83 km al S de Socaire,-24.302 ,-67.638,2023-10-13,07:21:48,2023-10-13,10:21:48,227,km,3.4,Ml
7 km al NO de La Higuera,-29.470 ,-71.260,2023-10-13,05:54:09,2023-10-13,08:54:09,54,km,2.8,Ml
33 km al SE de Los Andes.,-32.991 ,-70.298,2023-10-13,03:42:23,2023-10-13,06:42:23,109,km,2.5,Ml
43 km al SE de CamiÃ±a,-19.649 ,-69.226,2023-10-13,01:19:26,2023-10-13,04:19:26,99,km,3.6,Ml
63 km al NE de Linares,-35.580 ,-70.982,2023-10-12,22:37:26,2023-10-13,01:37:26,133,km,3.3,Ml
25 km al S de Sierra Gorda.,-23.126 ,-69.357,2023-10-12,22:27:03,2023-10-13,01:27:03,100,km,2.6,Ml
47 km al SE de CuricÃ³,-35.306 ,-70.906,2023-10-12,21:22:30,2023-10-13,00:22:30,108,km,2.9,Ml
