evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
89 km al SE de Socaire,-24.096 ,-67.214,2023-10-04,19:01:18,2023-10-04,22:01:18,168,km,3.3,Ml
53 km al O de OllagÃ¼e,-21.324 ,-68.750,2023-10-04,17:40:19,2023-10-04,20:40:19,115,km,2.7,Ml
103 km al O de Mejillones,-22.733 ,-71.377,2023-10-04,17:06:21,2023-10-04,20:06:21,15,km,3.2,Ml
15 km al SE de Tongoy,-30.362 ,-71.402,2023-10-04,16:49:26,2023-10-04,19:49:26,49,km,2.7,Ml
58 km al NE de Calama,-22.041 ,-68.604,2023-10-04,16:44:46,2023-10-04,19:44:46,126,km,3.0,Ml
46 km al NE de La Higuera,-29.137 ,-70.996,2023-10-04,15:34:58,2023-10-04,18:34:58,69,km,3.0,Ml
99 km al O de Tortel,-47.783 ,-74.867,2023-10-04,15:31:49,2023-10-04,18:31:49,47,km,3.3,Ml
22 km al E de Los Andes.,-32.793 ,-70.370,2023-10-04,14:31:52,2023-10-04,17:31:52,105,km,3.4,Ml
23 km al N de Tongoy,-30.052 ,-71.525,2023-10-04,14:12:11,2023-10-04,17:12:11,41,km,2.5,Ml
24 km al N de Tongoy,-30.045 ,-71.442,2023-10-04,14:08:56,2023-10-04,17:08:56,42,km,3.0,Ml
71 km al NE de Calama,-21.960 ,-68.523,2023-10-04,13:05:25,2023-10-04,16:05:25,105,km,2.9,Ml
88 km al E de Socaire,-23.817 ,-67.064,2023-10-04,10:48:00,2023-10-04,13:48:00,234,km,3.2,Ml
108 km al E de Socaire,-23.356 ,-66.860,2023-10-04,10:10:37,2023-10-04,13:10:37,192,km,2.9,Ml
61 km al SO de Socaire,-24.088 ,-68.134,2023-10-04,09:46:53,2023-10-04,12:46:53,244,km,2.9,Ml
37 km al O de Los Vilos,-31.766 ,-71.866,2023-10-04,08:00:18,2023-10-04,11:00:18,38,km,3.1,Ml
33 km al NE de Calama,-22.191 ,-68.808,2023-10-04,06:56:55,2023-10-04,09:56:55,124,km,2.8,Ml
62 km al N de Huasco,-27.909 ,-71.282,2023-10-04,01:19:34,2023-10-04,04:19:34,32,km,3.7,Ml
