evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
41 km al SO de Mina Collahuasi,-21.126 ,-68.894,2023-10-20,19:44:51,2023-10-20,22:44:51,109,km,2.6,Ml
24 km al N de La Higuera,-29.305 ,-71.281,2023-10-20,19:19:54,2023-10-20,22:19:54,49,km,2.6,Ml
25 km al O de Mina Collahuasi,-20.819 ,-68.898,2023-10-20,16:34:54,2023-10-20,19:34:54,105,km,2.6,Ml
48 km al SE de Mina Los Pelambres,-32.164 ,-70.280,2023-10-20,14:25:09,2023-10-20,17:25:09,121,km,2.7,Ml
102 km al NE de San Pedro de Atacama,-22.135 ,-67.690,2023-10-20,13:56:53,2023-10-20,16:56:53,206,km,4.7,Mw
70 km al SO de Mina Collahuasi,-21.407 ,-68.915,2023-10-20,13:47:53,2023-10-20,16:47:53,100,km,2.9,Ml
16 km al O de Tongoy,-30.273 ,-71.656,2023-10-20,13:18:01,2023-10-20,16:18:01,62,km,4.1,Ml
62 km al S de Socaire,-24.146 ,-67.832,2023-10-20,13:05:10,2023-10-20,16:05:10,232,km,4.3,Mw
34 km al SO de Mina Collahuasi,-21.078 ,-68.848,2023-10-20,13:04:09,2023-10-20,16:04:09,108,km,2.5,Ml
8 km al SO de Ovalle,-30.643 ,-71.268,2023-10-20,12:44:34,2023-10-20,15:44:34,56,km,3.2,Ml
50 km al SE de Socaire,-23.922 ,-67.554,2023-10-20,12:34:12,2023-10-20,15:34:12,251,km,3.0,Ml
35 km al E de Calama,-22.570 ,-68.604,2023-10-20,11:15:14,2023-10-20,14:15:14,123,km,3.0,Ml
73 km al S de Socaire,-24.240 ,-67.781,2023-10-20,10:36:09,2023-10-20,13:36:09,227,km,2.7,Ml
154 km al NO de Cobquecura,-35.305 ,-74.160,2023-10-20,10:29:25,2023-10-20,13:29:25,26,km,3.1,Ml
45 km al N de Mina La Escondida.,-23.861 ,-69.039,2023-10-20,09:54:35,2023-10-20,12:54:35,92,km,2.8,Ml
143 km al NE de Socaire,-22.913 ,-66.703,2023-10-20,09:01:33,2023-10-20,12:01:33,240,km,3.1,Ml
60 km al N de Huasco,-27.946 ,-71.386,2023-10-20,08:53:10,2023-10-20,11:53:10,29,km,3.1,Ml
44 km al NE de Farellones,-33.009 ,-70.068,2023-10-20,04:10:48,2023-10-20,07:10:48,15,km,2.8,Ml
13 km al O de Ovalle,-30.644 ,-71.332,2023-10-20,03:50:46,2023-10-20,06:50:46,53,km,3.7,Ml
66 km al N de Calama,-21.916 ,-68.710,2023-10-20,02:37:30,2023-10-20,05:37:30,103,km,2.5,Ml
45 km al O de San Pedro de Atacama,-22.768 ,-68.602,2023-10-20,02:09:16,2023-10-20,05:09:16,106,km,3.2,Ml
34 km al N de Huasco,-28.160 ,-71.183,2023-10-20,01:43:24,2023-10-20,04:43:24,51,km,4.0,Ml
41 km al E de Pica,-20.416 ,-68.940,2023-10-19,23:03:20,2023-10-20,02:03:20,112,km,4.4,Ml
