evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
23 km al N de Petorca,-32.050 ,-70.880,2024-01-12,20:52:58,2024-01-12,23:52:58,103,km,3.7,Ml
47 km al O de OllagÃ¼e,-21.292 ,-68.701,2024-01-12,18:13:56,2024-01-12,21:13:56,116,km,2.9,Ml
30 km al E de Entre Lagos,-40.667 ,-72.251,2024-01-12,16:21:17,2024-01-12,19:21:17,112,km,3.0,Ml
26 km al S de Mina Collahuasi,-21.042 ,-68.743,2024-01-12,16:14:00,2024-01-12,19:14:00,108,km,2.9,Ml
11 km al NE de Calama,-22.411 ,-68.844,2024-01-12,16:07:49,2024-01-12,19:07:49,116,km,2.8,Ml
39 km al S de Huasco,-28.816 ,-71.240,2024-01-12,16:00:24,2024-01-12,19:00:24,44,km,2.8,Ml
45 km al O de Los Vilos,-31.769 ,-71.960,2024-01-12,14:52:07,2024-01-12,17:52:07,10,km,2.7,Ml
44 km al SO de Mina Collahuasi,-21.088 ,-68.978,2024-01-12,12:34:38,2024-01-12,15:34:38,103,km,2.7,Ml
60 km al SE de Socaire,-24.074 ,-67.640,2024-01-12,09:27:55,2024-01-12,12:27:55,258,km,2.6,Ml
52 km al SO de OllagÃ¼e,-21.631 ,-68.494,2024-01-12,09:14:02,2024-01-12,12:14:02,118,km,3.1,Ml
25 km al SO de Salamanca,-31.952 ,-71.133,2024-01-12,08:46:17,2024-01-12,11:46:17,68,km,2.8,Ml
100 km al S de Termas del Flaco,-35.856 ,-70.424,2024-01-12,08:29:45,2024-01-12,11:29:45,198,km,3.8,Ml
7 km al S de Mina La Escondida.,-24.330 ,-69.080,2024-01-12,07:14:30,2024-01-12,10:14:30,109,km,3.2,Ml
44 km al NO de Putre,-17.868 ,-69.799,2024-01-12,06:56:18,2024-01-12,09:56:18,141,km,3.2,Ml
28 km al E de Villarrica,-39.395 ,-71.932,2024-01-12,06:19:39,2024-01-12,09:19:39,6,km,3.0,Ml
52 km al S de Mina Collahuasi,-21.273 ,-68.813,2024-01-12,05:59:37,2024-01-12,08:59:37,112,km,2.8,Ml
19 km al N de Pozo Almonte,-20.087 ,-69.741,2024-01-12,02:26:43,2024-01-12,05:26:43,69,km,2.6,Ml
112 km al O de Caldera,-27.392 ,-71.894,2024-01-12,02:21:29,2024-01-12,05:21:29,32,km,3.0,Ml
57 km al NE de Calama,-22.054 ,-68.613,2024-01-12,01:49:37,2024-01-12,04:49:37,120,km,3.3,Ml
82 km al SE de Socaire,-23.910 ,-67.160,2024-01-12,00:42:35,2024-01-12,03:42:35,236,km,3.7,Ml
30 km al O de OllagÃ¼e,-21.193 ,-68.545,2024-01-12,00:28:26,2024-01-12,03:28:26,130,km,2.5,Ml
71 km al SE de Monte Patria,-30.977 ,-70.291,2024-01-12,00:22:24,2024-01-12,03:22:24,122,km,3.8,Ml
101 km al SE de Socaire,-24.231 ,-67.183,2024-01-11,23:25:21,2024-01-12,02:25:21,203,km,3.6,Ml
68 km al S de Socaire,-24.203 ,-67.901,2024-01-11,21:46:23,2024-01-12,00:46:23,230,km,3.1,Ml
