evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
47 km al E de Sierra Gorda.,-23.038 ,-68.885,2024-01-21,18:35:16,2024-01-21,21:35:16,95,km,3.1,Ml
29 km al NO de Los Vilos,-31.765 ,-71.766,2024-01-21,15:37:40,2024-01-21,18:37:40,47,km,3.4,Ml
52 km al O de Navidad,-33.889 ,-72.385,2024-01-21,14:39:29,2024-01-21,17:39:29,30,km,4.3,Ml
56 km al O de Navidad,-33.930 ,-72.438,2024-01-21,14:37:48,2024-01-21,17:37:48,36,km,5.2,Mw
48 km al NO de Quillagua,-21.290 ,-69.784,2024-01-21,10:39:15,2024-01-21,13:39:15,43,km,2.7,Ml
26 km al SO de OllagÃ¼e,-21.363 ,-68.458,2024-01-21,08:48:02,2024-01-21,11:48:02,125,km,2.9,Ml
16 km al O de Antuco,-37.347 ,-71.858,2024-01-21,07:35:34,2024-01-21,10:35:34,96,km,3.3,Ml
36 km al NE de Pica,-20.275 ,-69.076,2024-01-21,04:45:31,2024-01-21,07:45:31,95,km,3.2,Ml
68 km al NE de Socaire,-23.222 ,-67.360,2024-01-21,03:21:28,2024-01-21,06:21:28,209,km,3.1,Ml
28 km al SE de Pisagua,-19.809 ,-70.072,2024-01-21,03:00:36,2024-01-21,06:00:36,56,km,2.8,Ml
50 km al NE de Quillagua,-21.381 ,-69.158,2024-01-21,02:28:48,2024-01-21,05:28:48,97,km,2.8,Ml
77 km al NO de Quillagua,-21.359 ,-70.200,2024-01-21,01:32:29,2024-01-21,04:32:29,38,km,2.7,Ml
15 km al SO de Quillagua,-21.778 ,-69.606,2024-01-21,00:55:46,2024-01-21,03:55:46,69,km,2.6,Ml
54 km al N de Mejillones,-22.626 ,-70.352,2024-01-21,00:30:39,2024-01-21,03:30:39,40,km,2.5,Ml
25 km al E de Puelo,-41.766 ,-72.026,2024-01-21,00:03:36,2024-01-21,03:03:36,163,km,3.6,Ml
