evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
31 km al E de Putre,-18.204 ,-69.270,2024-01-08,16:25:51,2024-01-08,19:25:51,147,km,3.3,Ml
35 km al E de Rancagua,-34.293 ,-70.387,2024-01-08,16:12:44,2024-01-08,19:12:44,115,km,3.0,Ml
5 km al NO de Calama,-22.433 ,-68.956,2024-01-08,14:30:36,2024-01-08,17:30:36,95,km,3.2,Ml
86 km al NO de Cobquecura,-35.602 ,-73.495,2024-01-08,13:26:26,2024-01-08,16:26:26,33,km,2.7,Ml
41 km al SO de OllagÃ¼e,-21.540 ,-68.459,2024-01-08,13:15:30,2024-01-08,16:15:30,117,km,3.6,Ml
147 km al O de Valdivia,-39.564 ,-74.930,2024-01-08,11:46:15,2024-01-08,14:46:15,36,km,2.8,Ml
171 km al NE de Socaire,-22.756 ,-66.479,2024-01-08,10:51:13,2024-01-08,13:51:13,260,km,4.4,Mw
74 km al N de Calama,-21.816 ,-68.803,2024-01-08,09:17:10,2024-01-08,12:17:10,115,km,2.7,Ml
44 km al NE de Pica,-20.176 ,-69.071,2024-01-08,08:26:02,2024-01-08,11:26:02,99,km,2.7,Ml
22 km al NE de CamiÃ±a,-19.225 ,-69.234,2024-01-08,06:11:58,2024-01-08,09:11:58,109,km,3.5,Ml
29 km al S de Sierra Gorda.,-23.155 ,-69.372,2024-01-08,02:26:57,2024-01-08,05:26:57,86,km,3.0,Ml
21 km al E de Calama,-22.534 ,-68.741,2024-01-08,02:25:25,2024-01-08,05:25:25,124,km,2.6,Ml
76 km al NE de Calama,-21.895 ,-68.523,2024-01-07,23:49:17,2024-01-08,02:49:17,134,km,2.8,Ml
35 km al O de Ovalle,-30.614 ,-71.564,2024-01-07,21:30:40,2024-01-08,00:30:40,46,km,3.6,Ml
