evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
103 km al S de Alto Hospicio,-21.138 ,-70.452,2024-01-18,20:43:53,2024-01-18,23:43:53,52,km,2.8,Ml
31 km al SE de Socaire,-23.829 ,-67.733,2024-01-18,20:15:44,2024-01-18,23:15:44,252,km,3.0,Ml
57 km al SE de Socaire,-23.972 ,-67.517,2024-01-18,18:12:49,2024-01-18,21:12:49,251,km,3.3,Ml
24 km al SE de Pichilemu,-34.544 ,-71.832,2024-01-18,16:50:53,2024-01-18,19:50:53,44,km,3.0,Ml
57 km al E de Talca,-35.535 ,-71.047,2024-01-18,16:28:31,2024-01-18,19:28:31,120,km,2.6,Ml
95 km al O de ConcepciÃ³n,-36.448 ,-74.004,2024-01-18,16:00:03,2024-01-18,19:00:03,28,km,2.8,Ml
26 km al SE de Cuya,-19.350 ,-70.032,2024-01-18,13:42:16,2024-01-18,16:42:16,41,km,3.2,Ml
52 km al O de OllagÃ¼e,-21.300 ,-68.746,2024-01-18,11:30:25,2024-01-18,14:30:25,121,km,2.8,Ml
55 km al NE de Cuya,-18.851 ,-69.771,2024-01-18,11:02:52,2024-01-18,14:02:52,112,km,3.3,Ml
28 km al S de CamiÃ±a,-19.567 ,-69.402,2024-01-18,10:57:21,2024-01-18,13:57:21,97,km,3.5,Ml
29 km al N de Calama,-22.215 ,-68.891,2024-01-18,10:15:59,2024-01-18,13:15:59,117,km,3.0,Ml
35 km al NO de CamiÃ±a,-19.062 ,-69.627,2024-01-18,07:42:53,2024-01-18,10:42:53,102,km,3.1,Ml
77 km al E de Socaire,-23.846 ,-67.187,2024-01-18,06:52:20,2024-01-18,09:52:20,222,km,3.7,Ml
80 km al E de San Pedro de Atacama,-22.682 ,-67.466,2024-01-18,06:21:21,2024-01-18,09:21:21,237,km,2.9,Ml
71 km al NE de Calama,-21.928 ,-68.572,2024-01-18,05:56:45,2024-01-18,08:56:45,118,km,2.5,Ml
30 km al NO de Mina Collahuasi,-20.638 ,-68.862,2024-01-18,05:16:19,2024-01-18,08:16:19,102,km,2.5,Ml
12 km al O de Tongoy,-30.282 ,-71.613,2024-01-18,04:04:10,2024-01-18,07:04:10,38,km,3.9,Ml
36 km al S de Los Vilos,-32.224 ,-71.605,2024-01-18,02:04:47,2024-01-18,05:04:47,63,km,2.8,Ml
58 km al NE de Alto del Carmen,-28.292 ,-70.229,2024-01-18,01:56:30,2024-01-18,04:56:30,102,km,3.2,Ml
72 km al S de OllagÃ¼e,-21.848 ,-68.449,2024-01-18,01:26:50,2024-01-18,04:26:50,121,km,2.6,Ml
20 km al S de Visviri,-17.764 ,-69.431,2024-01-18,00:08:22,2024-01-18,03:08:22,157,km,2.7,Ml
