evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
15 km al NE de La Higuera,-29.396 ,-71.116,2023-07-16,19:43:08,2023-07-16,23:43:08,57,km,2.9,Ml
25 km al NO de Lebu,-37.439 ,-73.834,2023-07-16,18:46:52,2023-07-16,22:46:52,29,km,3.0,Ml
75 km al O de Lebu,-37.481 ,-74.495,2023-07-16,18:43:38,2023-07-16,22:43:38,33,km,2.6,Ml
50 km al S de OllagÃ¼e,-21.652 ,-68.405,2023-07-16,18:38:26,2023-07-16,22:38:26,127,km,2.9,Ml
37 km al SE de Calama,-22.663 ,-68.636,2023-07-16,16:25:28,2023-07-16,20:25:28,127,km,2.9,Ml
91 km al NE de San Pedro de Atacama,-22.262 ,-67.665,2023-07-16,14:54:20,2023-07-16,18:54:20,224,km,3.0,Ml
112 km al NE de Socaire,-22.936 ,-67.059,2023-07-16,14:18:39,2023-07-16,18:18:39,257,km,4.2,Mw
50 km al SE de Socaire,-23.915 ,-67.551,2023-07-16,14:06:23,2023-07-16,18:06:23,241,km,2.9,Ml
45 km al SO de Huasco,-28.761 ,-71.541,2023-07-16,13:48:17,2023-07-16,17:48:17,38,km,2.5,Ml
20 km al E de Tongoy,-30.279 ,-71.288,2023-07-16,11:01:55,2023-07-16,15:01:55,56,km,2.7,Ml
26 km al NO de CamiÃ±a,-19.111 ,-69.543,2023-07-16,10:37:47,2023-07-16,14:37:47,92,km,3.6,Ml
26 km al E de CamiÃ±a,-19.371 ,-69.190,2023-07-16,09:27:04,2023-07-16,13:27:04,110,km,3.5,Ml
10 km al O de VichuquÃ©n,-34.848 ,-72.090,2023-07-16,08:09:27,2023-07-16,12:09:27,32,km,3.1,Ml
16 km al N de Farellones,-33.212 ,-70.292,2023-07-16,07:24:38,2023-07-16,11:24:38,107,km,4.0,Ml
53 km al O de Tongoy,-30.308 ,-72.041,2023-07-16,05:16:38,2023-07-16,09:16:38,42,km,3.1,Ml
36 km al S de Huasco,-28.780 ,-71.320,2023-07-16,04:35:54,2023-07-16,08:35:54,41,km,3.3,Ml
15 km al SE de Los Vilos,-32.011 ,-71.409,2023-07-16,02:07:33,2023-07-16,06:07:33,28,km,2.8,Ml
62 km al S de Alto Hospicio,-20.797 ,-70.301,2023-07-16,01:23:43,2023-07-16,05:23:43,63,km,3.2,Ml
149 km al O de Lebu,-37.521 ,-75.347,2023-07-15,23:31:47,2023-07-16,03:31:47,16,km,3.2,Ml
47 km al SE de Pica,-20.879 ,-69.148,2023-07-15,20:58:40,2023-07-16,00:58:40,104,km,3.0,Ml
14 km al N de Farellones,-33.228 ,-70.335,2023-07-15,20:23:16,2023-07-16,00:23:16,98,km,3.0,Ml
