evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
19 km al N de Quintero,-32.618 ,-71.590,2024-06-07,17:45:08,2024-06-07,21:45:08,35,km,3.1,Ml
52 km al SE de Socaire,-24.013 ,-67.682,2024-06-07,16:56:29,2024-06-07,20:56:29,250,km,3.0,Ml
18 km al SO de Tongoy,-30.349 ,-71.645,2024-06-07,16:14:26,2024-06-07,20:14:26,30,km,2.9,Ml
40 km al SE de Rancagua,-34.409 ,-70.410,2024-06-07,15:32:50,2024-06-07,19:32:50,120,km,3.5,Ml
26 km al SO de Pichidangui,-32.268 ,-71.753,2024-06-07,15:04:30,2024-06-07,19:04:30,32,km,2.7,Ml
32 km al SO de Mina Collahuasi,-21.007 ,-68.896,2024-06-07,14:36:53,2024-06-07,18:36:53,141,km,2.6,Ml
5 km al NE de Los Vilos,-31.887 ,-71.473,2024-06-07,12:20:51,2024-06-07,16:20:51,47,km,2.6,Ml
1 km al SO de Cuya,-19.164 ,-70.185,2024-06-07,09:02:27,2024-06-07,13:02:27,52,km,2.9,Ml
19 km al S de Mina Los Pelambres,-31.989 ,-70.547,2024-06-07,06:04:34,2024-06-07,10:04:34,120,km,2.8,Ml
63 km al S de Cami̱a,-19.853 ,-69.240,2024-06-07,02:28:07,2024-06-07,06:28:07,94,km,2.6,Ml
40 km al NO de Arica,-18.288 ,-70.644,2024-06-07,01:47:37,2024-06-07,05:47:37,58,km,4.0,Ml
85 km al NO de Isla Guafo,-43.190 ,-75.609,2024-06-06,22:21:10,2024-06-07,02:21:10,24,km,4.1,Ml
31 km al S de Sierra Gorda,-23.165 ,-69.367,2024-06-06,22:01:46,2024-06-07,02:01:46,74,km,2.7,Ml
12 km al SE de Los Andes,-32.938 ,-70.552,2024-06-06,20:58:13,2024-06-07,00:58:13,21,km,2.7,Ml
76 km al SE de Socaire,-24.228 ,-67.622,2024-06-06,20:17:44,2024-06-07,00:17:44,221,km,3.4,Ml
