evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
40 km al S de Mina La Escondida,-24.627 ,-69.102,2024-11-14,17:25:22,2024-11-14,20:25:22,96,km,3.4,Ml
36 km al S de Mina Collahuasi,-21.147 ,-68.728,2024-11-14,17:04:47,2024-11-14,20:04:47,153,km,4.0,Ml
73 km al E de CopiapÃ³,-27.091 ,-69.664,2024-11-14,15:40:41,2024-11-14,18:40:41,32,km,2.9,Ml
77 km al O de San Antonio de los Cobres,-23.998 ,-67.033,2024-11-14,14:04:54,2024-11-14,17:04:54,237,km,3.5,Ml
85 km al E de Paposo,-24.984 ,-69.624,2024-11-14,13:33:49,2024-11-14,16:33:49,88,km,3.1,Ml
38 km al O de Mina Collahuasi,-20.848 ,-69.027,2024-11-14,11:38:46,2024-11-14,14:38:46,107,km,3.9,Ml
17 km al SE de ValparaÃ­so,-33.169 ,-71.497,2024-11-14,10:58:17,2024-11-14,13:58:17,36,km,2.8,Ml
34 km al NO de Visviri,-17.345 ,-69.663,2024-11-14,07:42:06,2024-11-14,10:42:06,170,km,3.0,Ml
48 km al O de ValparaÃ­so,-33.019 ,-72.126,2024-11-14,04:45:29,2024-11-14,07:45:29,40,km,2.5,Ml
37 km al E de Antuco,-37.445 ,-71.277,2024-11-14,04:25:32,2024-11-14,07:25:32,176,km,3.4,Ml
27 km al O de OllagÃ¼e,-21.182 ,-68.510,2024-11-14,02:04:56,2024-11-14,05:04:56,134,km,3.9,Ml
71 km al SE de Socaire,-24.136 ,-67.524,2024-11-14,01:31:28,2024-11-14,04:31:28,233,km,3.7,Ml
38 km al O de La Serena,-29.867 ,-71.640,2024-11-14,00:56:19,2024-11-14,03:56:19,34,km,2.6,Ml
41 km al N de ChaÃ±aral,-25.986 ,-70.697,2024-11-14,00:25:04,2024-11-14,03:25:04,49,km,3.1,Ml
17 km al SO de Andacollo,-30.307 ,-71.236,2024-11-13,22:08:36,2024-11-14,01:08:36,45,km,3.0,Ml
