evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
70 km al NE de Calama,-21.888 ,-68.662,2024-11-06,19:17:26,2024-11-06,22:17:26,115,km,2.7,Ml
18 km al O de Pichidangui,-32.132 ,-71.719,2024-11-06,16:21:45,2024-11-06,19:21:45,22,km,3.0,Ml
73 km al NO de San Antonio de los Cobres,-23.764 ,-66.831,2024-11-06,14:55:52,2024-11-06,17:55:52,196,km,3.5,Ml
25 km al E de Pica,-20.511 ,-69.091,2024-11-06,13:39:39,2024-11-06,16:39:39,113,km,3.0,Ml
85 km al SE de Socaire,-24.237 ,-67.450,2024-11-06,13:28:24,2024-11-06,16:28:24,228,km,3.6,Ml
22 km al E de Patache,-20.876 ,-69.999,2024-11-06,13:16:25,2024-11-06,16:16:25,2,km,2.6,Ml
48 km al SO de Mina Collahuasi,-21.185 ,-68.910,2024-11-06,11:24:28,2024-11-06,14:24:28,110,km,3.5,Ml
42 km al SO de Mina La Escondida,-24.544 ,-69.338,2024-11-06,10:46:01,2024-11-06,13:46:01,95,km,2.7,Ml
55 km al SE de Alto del Carmen,-29.040 ,-70.024,2024-11-06,09:33:23,2024-11-06,12:33:23,114,km,3.7,Ml
27 km al NO de El Tabo,-33.301 ,-71.894,2024-11-06,09:26:13,2024-11-06,12:26:13,35,km,2.7,Ml
59 km al NO de Parque Fray Jorge,-30.322 ,-72.150,2024-11-06,04:31:10,2024-11-06,07:31:10,36,km,3.3,Ml
43 km al O de OllagÃ¼e,-21.355 ,-68.642,2024-11-06,04:01:20,2024-11-06,07:01:20,105,km,4.8,Mw
14 km al SO de Putre,-18.290 ,-69.653,2024-11-06,00:57:06,2024-11-06,03:57:06,111,km,3.6,Ml
22 km al N de Los Vilos,-31.718 ,-71.484,2024-11-05,23:50:27,2024-11-06,02:50:27,45,km,4.0,Ml
