evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
82 km al SE de Socaire,-24.173 ,-67.397,2024-11-17,19:41:51,2024-11-17,22:41:51,186,km,2.9,Ml
57 km al E de Socaire,-23.383 ,-67.380,2024-11-17,19:06:22,2024-11-17,22:06:22,256,km,3.6,Ml
21 km al N de Patache,-20.625 ,-70.232,2024-11-17,18:04:28,2024-11-17,21:04:28,68,km,2.9,Ml
71 km al SE de Socaire,-24.058 ,-67.418,2024-11-17,16:40:44,2024-11-17,19:40:44,210,km,3.2,Ml
73 km al SO de OllagÃ¼e,-21.791 ,-68.613,2024-11-17,15:13:13,2024-11-17,18:13:13,120,km,2.5,Ml
78 km al SE de Socaire,-24.194 ,-67.495,2024-11-17,15:08:17,2024-11-17,18:08:17,202,km,3.3,Ml
53 km al SO de Tocopilla,-22.477 ,-70.513,2024-11-17,15:03:59,2024-11-17,18:03:59,32,km,2.5,Ml
41 km al S de Socaire,-23.944 ,-67.786,2024-11-17,14:30:59,2024-11-17,17:30:59,290,km,3.2,Ml
12 km al SE de Calama,-22.522 ,-68.833,2024-11-17,14:27:16,2024-11-17,17:27:16,107,km,2.9,Ml
43 km al N de CamiÃ±a,-18.945 ,-69.290,2024-11-17,12:19:40,2024-11-17,15:19:40,116,km,2.8,Ml
30 km al O de OllagÃ¼e,-21.313 ,-68.529,2024-11-17,12:05:55,2024-11-17,15:05:55,121,km,3.0,Ml
112 km al NO de Pichilemu,-33.914 ,-73.085,2024-11-17,12:03:27,2024-11-17,15:03:27,32,km,2.5,Ml
16 km al NE de Mina La Escondida,-24.144 ,-68.970,2024-11-17,11:27:23,2024-11-17,14:27:23,94,km,3.8,Ml
4 km al NO de Parque Fray Jorge,-30.635 ,-71.701,2024-11-17,08:04:34,2024-11-17,11:04:34,35,km,3.5,Ml
40 km al N de VicuÃ±a,-29.674 ,-70.704,2024-11-17,07:50:32,2024-11-17,10:50:32,74,km,3.5,Ml
61 km al N de Calama,-21.943 ,-68.781,2024-11-17,07:47:37,2024-11-17,10:47:37,121,km,3.0,Ml
71 km al S de Socaire,-24.226 ,-67.843,2024-11-17,06:29:03,2024-11-17,09:29:03,238,km,2.9,Ml
116 km al E de CopiapÃ³,-27.751 ,-69.240,2024-11-17,06:09:01,2024-11-17,09:09:01,125,km,2.5,Ml
5 km al NE de Parque Fray Jorge,-30.637 ,-71.646,2024-11-17,06:02:21,2024-11-17,09:02:21,34,km,2.7,Ml
3 km al NE de Parque Fray Jorge,-30.636 ,-71.667,2024-11-17,05:58:39,2024-11-17,08:58:39,34,km,3.7,Ml
22 km al SE de Calama,-22.590 ,-68.758,2024-11-17,05:14:32,2024-11-17,08:14:32,104,km,3.0,Ml
70 km al SE de Socaire,-24.177 ,-67.634,2024-11-17,03:47:24,2024-11-17,06:47:24,245,km,3.3,Ml
26 km al S de Pichidangui,-32.360 ,-71.614,2024-11-17,03:07:23,2024-11-17,06:07:23,48,km,3.1,Ml
78 km al NE de Alto del Carmen,-28.451 ,-69.766,2024-11-17,02:09:32,2024-11-17,05:09:32,99,km,2.7,Ml
33 km al SO de OllagÃ¼e,-21.382 ,-68.518,2024-11-17,00:09:30,2024-11-17,03:09:30,135,km,2.7,Ml
18 km al NO de Tongoy,-30.109 ,-71.569,2024-11-16,23:54:35,2024-11-17,02:54:35,37,km,2.8,Ml
88 km al SE de Socaire,-24.127 ,-67.258,2024-11-16,21:53:33,2024-11-17,00:53:33,229,km,2.8,Ml
