evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
16 km al NE de Linares,-35.760 ,-71.454,2023-05-01,19:38:36,2023-05-01,23:38:36,94,km,2.8,Ml
99 km al SE de Socaire,-24.416 ,-67.522,2023-05-01,17:51:41,2023-05-01,21:51:41,201,km,4.0,Ml
19 km al N de San Fernando,-34.417 ,-71.006,2023-05-01,15:24:12,2023-05-01,19:24:12,72,km,3.1,Ml
47 km al S de Taltal,-25.830 ,-70.464,2023-05-01,14:31:10,2023-05-01,18:31:10,50,km,3.1,Ml
82 km al NE de El Salvador,-25.654 ,-69.125,2023-05-01,12:15:36,2023-05-01,16:15:36,10,km,2.8,Ml
41 km al SO de Pichilemu,-34.621 ,-72.353,2023-05-01,10:09:17,2023-05-01,14:09:17,41,km,3.0,Ml
30 km al SO de Mina Collahuasi,-20.987 ,-68.895,2023-05-01,09:55:10,2023-05-01,13:55:10,103,km,2.8,Ml
56 km al S de Putre,-18.676 ,-69.708,2023-05-01,09:51:25,2023-05-01,13:51:25,95,km,3.2,Ml
62 km al SO de OllagÃ¼e,-21.686 ,-68.589,2023-05-01,08:05:15,2023-05-01,12:05:15,144,km,3.0,Ml
50 km al O de CopiapÃ³,-27.536 ,-70.797,2023-05-01,07:15:47,2023-05-01,11:15:47,51,km,3.0,Ml
78 km al O de Tongoy,-30.288 ,-72.301,2023-05-01,06:49:48,2023-05-01,10:49:48,30,km,3.0,Ml
54 km al S de Mina Collahuasi,-21.292 ,-68.815,2023-05-01,06:25:06,2023-05-01,10:25:06,125,km,3.9,Ml
24 km al NO de Putre,-17.997 ,-69.644,2023-05-01,06:05:51,2023-05-01,10:05:51,108,km,2.8,Ml
28 km al O de OllagÃ¼e,-21.313 ,-68.508,2023-05-01,05:28:01,2023-05-01,09:28:01,135,km,3.1,Ml
41 km al O de Cuya,-19.079 ,-70.557,2023-05-01,05:08:42,2023-05-01,09:08:42,48,km,2.9,Ml
53 km al SO de San Pedro de Atacama,-23.219 ,-68.599,2023-05-01,04:37:16,2023-05-01,08:37:16,123,km,2.8,Ml
37 km al SO de ConstituciÃ³n,-35.505 ,-72.766,2023-05-01,04:28:11,2023-05-01,08:28:11,8,km,3.1,Ml
39 km al NO de Mina Collahuasi,-20.595 ,-68.944,2023-05-01,02:51:10,2023-05-01,06:51:10,103,km,2.8,Ml
69 km al SE de Socaire,-24.171 ,-67.641,2023-05-01,00:35:28,2023-05-01,04:35:28,232,km,3.6,Ml
65 km al O de Tongoy,-30.181 ,-72.169,2023-04-30,22:40:55,2023-05-01,02:40:55,18,km,3.2,Ml
39 km al E de La Higuera,-29.419 ,-70.818,2023-04-30,20:05:16,2023-05-01,00:05:16,63,km,2.9,Ml
