evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
99 km al SE de Socaire,-24.303 ,-67.299,2023-11-21,17:10:42,2023-11-21,20:10:42,186,km,3.5,Ml
57 km al O de Los Vilos,-31.751 ,-72.081,2023-11-21,17:05:35,2023-11-21,20:05:35,26,km,2.7,Ml
59 km al O de Los Vilos,-31.705 ,-72.082,2023-11-21,16:41:03,2023-11-21,19:41:03,31,km,3.3,Ml
60 km al O de Los Vilos,-31.715 ,-72.103,2023-11-21,16:19:27,2023-11-21,19:19:27,42,km,3.5,Ml
64 km al SE de Socaire,-24.069 ,-67.536,2023-11-21,15:12:21,2023-11-21,18:12:21,251,km,2.9,Ml
77 km al SE de Socaire,-24.230 ,-67.592,2023-11-21,14:31:49,2023-11-21,17:31:49,213,km,4.2,Mw
56 km al SE de Socaire,-23.881 ,-67.438,2023-11-21,12:11:50,2023-11-21,15:11:50,265,km,3.2,Ml
14 km al NO de Punitaqui,-30.769 ,-71.391,2023-11-21,12:02:10,2023-11-21,15:02:10,52,km,2.5,Ml
32 km al E de Tir̼a,-38.474 ,-73.165,2023-11-21,12:01:54,2023-11-21,15:01:54,28,km,3.1,Ml
44 km al NE de Calama,-22.103 ,-68.775,2023-11-21,11:45:35,2023-11-21,14:45:35,113,km,2.5,Ml
13 km al O de Andacollo,-30.215 ,-71.215,2023-11-21,09:47:44,2023-11-21,12:47:44,70,km,4.5,Mw
17 km al NO de Punitaqui,-30.753 ,-71.411,2023-11-21,07:44:21,2023-11-21,10:44:21,52,km,3.0,Ml
58 km al O de Los Vilos,-31.710 ,-72.080,2023-11-21,07:23:03,2023-11-21,10:23:03,41,km,3.4,Ml
61 km al O de Los Vilos,-31.710 ,-72.110,2023-11-21,07:22:20,2023-11-21,10:22:20,31,km,3.4,Ml
54 km al O de Los Vilos,-31.722 ,-72.034,2023-11-21,06:14:26,2023-11-21,09:14:26,43,km,2.8,Ml
58 km al NO de Los Vilos,-31.671 ,-72.059,2023-11-21,05:49:40,2023-11-21,08:49:40,45,km,3.4,Ml
50 km al SO de Mina Collahuasi,-21.145 ,-68.995,2023-11-21,02:01:14,2023-11-21,05:01:14,109,km,2.9,Ml
47 km al O de Mina Collahuasi,-20.863 ,-69.109,2023-11-21,00:27:41,2023-11-21,03:27:41,107,km,2.8,Ml
19 km al N de Tongoy,-30.086 ,-71.531,2023-11-20,23:22:38,2023-11-21,02:22:38,34,km,2.6,Ml
10 km al E de Alto del Carmen,-28.768 ,-70.382,2023-11-20,22:51:18,2023-11-21,01:51:18,107,km,3.4,Ml
63 km al O de Los Vilos,-31.714 ,-72.131,2023-11-20,21:57:24,2023-11-21,00:57:24,30,km,3.8,Ml
