evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
30 km al SO de Santiago,-33.692 ,-70.763,2023-11-12,18:42:49,2023-11-12,21:42:49,84,km,2.9,Ml
72 km al S de Socaire,-24.232 ,-67.968,2023-11-12,17:01:05,2023-11-12,20:01:05,241,km,3.7,Ml
57 km al NE de Calama,-22.173 ,-68.475,2023-11-12,16:23:31,2023-11-12,19:23:31,114,km,2.5,Ml
27 km al SO de OllagÃ¼e,-21.359 ,-68.466,2023-11-12,15:53:27,2023-11-12,18:53:27,119,km,2.6,Ml
30 km al NO de Los Vilos,-31.666 ,-71.643,2023-11-12,14:58:54,2023-11-12,17:58:54,48,km,3.2,Ml
18 km al NO de OllagÃ¼e,-21.115 ,-68.379,2023-11-12,14:39:02,2023-11-12,17:39:02,142,km,2.9,Ml
20 km al SO de La Higuera,-29.663 ,-71.317,2023-11-12,14:32:06,2023-11-12,17:32:06,53,km,3.9,Ml
38 km al O de OllagÃ¼e,-21.227 ,-68.618,2023-11-12,14:10:34,2023-11-12,17:10:34,135,km,2.9,Ml
12 km al O de Punitaqui,-30.829 ,-71.383,2023-11-12,13:41:39,2023-11-12,16:41:39,52,km,3.4,Ml
38 km al SO de Mejillones,-23.375 ,-70.669,2023-11-12,10:41:45,2023-11-12,13:41:45,34,km,2.9,Ml
34 km al SO de Mejillones,-23.318 ,-70.683,2023-11-12,10:30:24,2023-11-12,13:30:24,46,km,4.4,Mw
27 km al E de VichuquÃ©n,-34.914 ,-71.703,2023-11-12,08:44:15,2023-11-12,11:44:15,43,km,4.1,Ml
15 km al S de Huasco,-28.591 ,-71.173,2023-11-12,07:30:32,2023-11-12,10:30:32,45,km,3.0,Ml
15 km al E de Linares,-35.880 ,-71.435,2023-11-12,04:26:54,2023-11-12,07:26:54,101,km,2.9,Ml
57 km al N de Pica,-19.993 ,-69.193,2023-11-12,03:28:47,2023-11-12,06:28:47,91,km,3.0,Ml
22 km al O de Ovalle,-30.644 ,-71.427,2023-11-12,00:22:39,2023-11-12,03:22:39,49,km,2.8,Ml
74 km al NO de Lebu,-37.147 ,-74.256,2023-11-11,23:22:31,2023-11-12,02:22:31,40,km,2.7,Ml
167 km al O de Valdivia,-39.393 ,-75.117,2023-11-11,23:19:11,2023-11-12,02:19:11,28,km,3.2,Ml
66 km al SO de OllagÃ¼e,-21.774 ,-68.507,2023-11-11,22:55:40,2023-11-12,01:55:40,118,km,2.7,Ml
123 km al SE de Socaire,-24.378 ,-67.034,2023-11-11,22:33:29,2023-11-12,01:33:29,205,km,4.4,Ml
