evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
12 km al S de San Pedro de Atacama,-23.023 ,-68.172,2023-11-08,20:45:52,2023-11-08,23:45:52,124,km,4.4,Ml
26 km al SO de OllagÃ¼e,-21.441 ,-68.347,2023-11-08,15:52:30,2023-11-08,18:52:30,123,km,2.9,Ml
44 km al NO de ValparaÃ­so,-32.788 ,-71.973,2023-11-08,15:15:05,2023-11-08,18:15:05,24,km,3.7,Ml
36 km al S de Mina Collahuasi,-21.150 ,-68.673,2023-11-08,12:49:45,2023-11-08,15:49:45,120,km,3.4,Ml
31 km al O de Canela Baja,-31.394 ,-71.784,2023-11-08,12:11:29,2023-11-08,15:11:29,35,km,2.6,Ml
76 km al SE de Socaire,-24.149 ,-67.455,2023-11-08,10:52:22,2023-11-08,13:52:22,236,km,2.9,Ml
29 km al NE de Tocopilla,-21.869 ,-70.068,2023-11-08,10:47:57,2023-11-08,13:47:57,64,km,2.7,Ml
28 km al SO de OllagÃ¼e,-21.451 ,-68.374,2023-11-08,09:48:36,2023-11-08,12:48:36,127,km,2.6,Ml
72 km al SE de Socaire,-24.183 ,-67.601,2023-11-08,09:20:34,2023-11-08,12:20:34,263,km,3.4,Ml
49 km al N de Calama,-22.048 ,-68.798,2023-11-08,07:59:43,2023-11-08,10:59:43,115,km,4.2,Ml
53 km al S de CamiÃ±a,-19.787 ,-69.366,2023-11-08,06:47:12,2023-11-08,09:47:12,87,km,3.5,Ml
36 km al NO de Calama,-22.289 ,-69.215,2023-11-08,06:41:41,2023-11-08,09:41:41,106,km,2.6,Ml
31 km al SO de La Ligua,-32.598 ,-71.517,2023-11-08,05:10:44,2023-11-08,08:10:44,58,km,3.2,Ml
58 km al NO de Arauco,-36.861 ,-73.757,2023-11-08,04:33:29,2023-11-08,07:33:29,20,km,2.8,Ml
59 km al NO de Lota,-36.830 ,-73.735,2023-11-08,04:23:19,2023-11-08,07:23:19,24,km,2.8,Ml
64 km al NO de Quillagua,-21.168 ,-69.849,2023-11-08,02:44:51,2023-11-08,05:44:51,79,km,2.5,Ml
39 km al NE de Calama,-22.167 ,-68.748,2023-11-08,02:21:58,2023-11-08,05:21:58,111,km,3.7,Ml
32 km al O de Mina Collahuasi,-20.742 ,-68.950,2023-11-08,01:55:14,2023-11-08,04:55:14,103,km,3.2,Ml
95 km al O de Cuya,-19.309 ,-71.069,2023-11-07,23:29:25,2023-11-08,02:29:25,27,km,2.9,Ml
40 km al SO de OllagÃ¼e,-21.527 ,-68.456,2023-11-07,23:05:14,2023-11-08,02:05:14,127,km,3.2,Ml
49 km al O de ConcepciÃ³n,-36.692 ,-73.570,2023-11-07,22:29:10,2023-11-08,01:29:10,26,km,3.0,Ml
48 km al O de ConcepciÃ³n,-36.717 ,-73.570,2023-11-07,22:12:35,2023-11-08,01:12:35,19,km,3.3,Ml
10 km al O de La Ligua,-32.465 ,-71.335,2023-11-07,21:49:41,2023-11-08,00:49:41,18,km,2.7,Ml
30 km al O de Mina Collahuasi,-20.752 ,-68.938,2023-11-07,21:24:29,2023-11-08,00:24:29,103,km,2.8,Ml
