evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
29 km al O de La Serena,-29.964 ,-71.542,2023-08-16,19:59:56,2023-08-16,23:59:56,45,km,3.0,Ml
106 km al SE de Socaire,-24.265 ,-67.152,2023-08-16,18:50:49,2023-08-16,22:50:49,226,km,3.2,Ml
78 km al NE de Mina Collahuasi,-20.231 ,-68.267,2023-08-16,18:33:47,2023-08-16,22:33:47,183,km,3.5,Ml
28 km al E de Putre,-18.175 ,-69.292,2023-08-16,15:44:25,2023-08-16,19:44:25,134,km,3.1,Ml
11 km al O de Vallenar,-28.610 ,-70.865,2023-08-16,12:13:08,2023-08-16,16:13:08,71,km,3.2,Ml
93 km al S de Termas del Flaco,-35.772 ,-70.211,2023-08-16,11:55:43,2023-08-16,15:55:43,193,km,4.5,Mw
32 km al O de Tocopilla,-22.062 ,-70.515,2023-08-16,09:50:56,2023-08-16,13:50:56,28,km,4.7,Mw
31 km al SO de Huasco,-28.703 ,-71.389,2023-08-16,06:19:45,2023-08-16,10:19:45,35,km,2.5,Ml
13 km al SE de Pichilemu,-34.484 ,-71.931,2023-08-16,06:07:15,2023-08-16,10:07:15,20,km,3.0,Ml
48 km al O de ValparaÃ­so,-33.017 ,-72.126,2023-08-16,03:36:57,2023-08-16,07:36:57,33,km,2.8,Ml
11 km al O de Tongoy,-30.272 ,-71.612,2023-08-16,03:20:48,2023-08-16,07:20:48,37,km,3.1,Ml
40 km al O de Mina Collahuasi,-20.822 ,-69.040,2023-08-16,02:32:10,2023-08-16,06:32:10,109,km,3.2,Ml
101 km al SE de Socaire,-24.263 ,-67.222,2023-08-16,01:53:10,2023-08-16,05:53:10,220,km,2.9,Ml
31 km al NO de Mina Collahuasi,-20.705 ,-68.930,2023-08-16,01:20:46,2023-08-16,05:20:46,120,km,3.0,Ml
47 km al S de OllagÃ¼e,-21.637 ,-68.361,2023-08-16,00:20:11,2023-08-16,04:20:11,137,km,2.6,Ml
31 km al SO de Mina Collahuasi,-21.038 ,-68.847,2023-08-16,00:09:10,2023-08-16,04:09:10,109,km,2.7,Ml
23 km al NE de San Fernando,-34.487 ,-70.769,2023-08-15,23:04:03,2023-08-16,03:04:03,94,km,2.9,Ml
