evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
16 km al NE de Melinka,-43.771 ,-73.646,2023-08-28,19:25:00,2023-08-28,23:25:00,52,km,5.0,Mw
55 km al O de Navidad,-33.970 ,-72.431,2023-08-28,17:36:40,2023-08-28,21:36:40,36,km,3.0,Ml
27 km al NO de Ancud,-41.638 ,-73.939,2023-08-28,13:48:19,2023-08-28,17:48:19,28,km,4.0,Ml
41 km al O de La Ligua,-32.466 ,-71.673,2023-08-28,12:45:55,2023-08-28,16:45:55,20,km,2.7,Ml
45 km al SO de OllagÃ¼e,-21.568 ,-68.486,2023-08-28,11:45:05,2023-08-28,15:45:05,146,km,2.9,Ml
55 km al O de Navidad,-33.969 ,-72.430,2023-08-28,10:10:38,2023-08-28,14:10:38,36,km,2.5,Ml
40 km al S de Huasco,-28.809 ,-71.111,2023-08-28,09:26:52,2023-08-28,13:26:52,57,km,3.6,Ml
49 km al N de ChaÃ±aral.,-25.924 ,-70.759,2023-08-28,07:48:43,2023-08-28,11:48:43,67,km,4.2,Ml
86 km al S de Mina La Escondida.,-25.032 ,-69.205,2023-08-28,06:44:34,2023-08-28,10:44:34,96,km,3.7,Ml
32 km al S de Quillagua,-21.947 ,-69.539,2023-08-28,05:34:59,2023-08-28,09:34:59,76,km,2.6,Ml
42 km al SO de OllagÃ¼e,-21.558 ,-68.448,2023-08-28,05:31:28,2023-08-28,09:31:28,133,km,2.8,Ml
67 km al S de Ilo,-18.220 ,-71.512,2023-08-28,04:58:21,2023-08-28,08:58:21,36,km,2.7,Ml
25 km al S de Taltal,-25.633 ,-70.485,2023-08-28,02:23:47,2023-08-28,06:23:47,72,km,3.1,Ml
76 km al O de Puerto AysÃ©n,-45.213 ,-73.624,2023-08-28,02:06:30,2023-08-28,06:06:30,72,km,2.5,Ml
15 km al SE de Calama,-22.575 ,-68.840,2023-08-28,02:01:25,2023-08-28,06:01:25,122,km,2.6,Ml
66 km al S de Ilo,-18.234 ,-71.434,2023-08-28,01:38:05,2023-08-28,05:38:05,36,km,4.1,Ml
18 km al N de Calama,-22.312 ,-68.900,2023-08-28,01:26:25,2023-08-28,05:26:25,110,km,3.7,Ml
66 km al S de Ilo,-18.234 ,-71.446,2023-08-28,00:14:47,2023-08-28,04:14:47,38,km,4.9,Mw
28 km al N de Farellones,-33.101 ,-70.331,2023-08-27,23:37:58,2023-08-28,03:37:58,117,km,2.8,Ml
60 km al SE de Socaire,-23.927 ,-67.425,2023-08-27,23:22:14,2023-08-28,03:22:14,259,km,3.3,Ml
23 km al NE de Calama,-22.385 ,-68.731,2023-08-27,23:08:13,2023-08-28,03:08:13,113,km,2.7,Ml
43 km al S de Mina Collahuasi,-21.209 ,-68.718,2023-08-27,22:13:51,2023-08-28,02:13:51,121,km,2.9,Ml
19 km al SO de Pica,-20.634 ,-69.426,2023-08-27,20:31:29,2023-08-28,00:31:29,98,km,4.2,Ml
