evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
42 km al SO de Mina Collahuasi,-21.155 ,-68.848,2023-08-18,19:18:29,2023-08-18,23:18:29,106,km,2.6,Ml
17 km al E de Alto Hospicio,-20.309 ,-69.943,2023-08-18,18:45:42,2023-08-18,22:45:42,75,km,2.7,Ml
22 km al S de Mina Los Pelambres,-32.018 ,-70.622,2023-08-18,18:20:48,2023-08-18,22:20:48,101,km,2.6,Ml
24 km al NE de ConstituciÃ³n,-35.132 ,-72.299,2023-08-18,18:16:45,2023-08-18,22:16:45,41,km,2.7,Ml
67 km al O de El Tabo,-33.459 ,-72.386,2023-08-18,17:39:11,2023-08-18,21:39:11,34,km,3.4,Ml
68 km al NO de La Higuera,-28.997 ,-71.584,2023-08-18,15:08:41,2023-08-18,19:08:41,21,km,2.9,Ml
23 km al S de CamiÃ±a,-19.517 ,-69.373,2023-08-18,13:48:45,2023-08-18,17:48:45,100,km,3.6,Ml
107 km al SE de Socaire,-24.317 ,-67.201,2023-08-18,13:47:44,2023-08-18,17:47:44,192,km,3.7,Ml
97 km al E de Socaire,-23.756 ,-66.953,2023-08-18,13:13:16,2023-08-18,17:13:16,229,km,3.6,Ml
46 km al SE de Pica,-20.856 ,-69.126,2023-08-18,12:28:12,2023-08-18,16:28:12,104,km,2.9,Ml
44 km al E de Baquedano,-23.336 ,-69.410,2023-08-18,12:23:24,2023-08-18,16:23:24,68,km,4.4,Ml
121 km al O de Navidad,-33.760 ,-73.122,2023-08-18,11:55:58,2023-08-18,15:55:58,32,km,2.5,Ml
24 km al NO de OllagÃ¼e,-21.070 ,-68.408,2023-08-18,11:17:36,2023-08-18,15:17:36,146,km,3.0,Ml
71 km al NO de Quillagua,-21.341 ,-70.133,2023-08-18,10:44:35,2023-08-18,14:44:35,49,km,2.6,Ml
65 km al NE de Paihuano,-29.545 ,-70.138,2023-08-18,10:39:40,2023-08-18,14:39:40,128,km,3.5,Ml
28 km al S de Huasco,-28.708 ,-71.134,2023-08-18,08:15:13,2023-08-18,12:15:13,49,km,2.7,Ml
4 km al S de Quillota,-32.918 ,-71.262,2023-08-18,07:44:14,2023-08-18,11:44:14,52,km,2.6,Ml
39 km al SE de Rancagua,-34.419 ,-70.438,2023-08-18,05:49:29,2023-08-18,09:49:29,123,km,2.8,Ml
36 km al N de Pica,-20.181 ,-69.221,2023-08-18,01:21:11,2023-08-18,05:21:11,95,km,4.2,Ml
35 km al NO de Los Vilos,-31.658 ,-71.726,2023-08-18,01:18:32,2023-08-18,05:18:32,33,km,2.8,Ml
18 km al O de OllagÃ¼e,-21.257 ,-68.426,2023-08-17,22:32:46,2023-08-18,02:32:46,128,km,2.7,Ml
25 km al NE de CopiapÃ³,-27.186 ,-70.176,2023-08-17,22:21:28,2023-08-18,02:21:28,100,km,2.5,Ml
63 km al SE de Mina Los Pelambres,-32.195 ,-70.083,2023-08-17,21:10:46,2023-08-18,01:10:46,136,km,3.4,Ml
73 km al E de Socaire,-23.846 ,-67.227,2023-08-17,21:07:18,2023-08-18,01:07:18,211,km,3.5,Ml
