evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
37 km al E de Pica,-20.587 ,-68.985,2023-08-31,19:35:38,2023-08-31,23:35:38,106,km,2.7,Ml
30 km al S de Mina Collahuasi,-21.096 ,-68.706,2023-08-31,19:30:58,2023-08-31,23:30:58,165,km,3.1,Ml
67 km al NE de Calama,-21.906 ,-68.691,2023-08-31,19:02:36,2023-08-31,23:02:36,119,km,2.8,Ml
63 km al N de Pica,-19.930 ,-69.217,2023-08-31,18:50:52,2023-08-31,22:50:52,92,km,2.6,Ml
49 km al NE de Pica,-20.096 ,-69.117,2023-08-31,18:08:40,2023-08-31,22:08:40,12,km,2.9,Ml
105 km al SE de OllagÃ¼e,-21.919 ,-67.564,2023-08-31,16:00:46,2023-08-31,20:00:46,214,km,4.1,Ml
33 km al E de Sierra Gorda.,-22.863 ,-68.996,2023-08-31,12:57:24,2023-08-31,16:57:24,98,km,3.5,Ml
15 km al N de Farellones,-33.218 ,-70.331,2023-08-31,11:25:56,2023-08-31,15:25:56,102,km,2.8,Ml
47 km al S de San Pedro de Atacama,-23.332 ,-68.281,2023-08-31,11:05:42,2023-08-31,15:05:42,119,km,3.4,Ml
107 km al NO de Huasco,-27.648 ,-71.788,2023-08-31,10:51:45,2023-08-31,14:51:45,15,km,2.7,Ml
9 km al NO de OllagÃ¼e,-21.159 ,-68.300,2023-08-31,10:03:21,2023-08-31,14:03:21,143,km,3.1,Ml
39 km al NE de Calama,-22.225 ,-68.654,2023-08-31,09:18:46,2023-08-31,13:18:46,112,km,2.8,Ml
22 km al NE de Calama,-22.360 ,-68.755,2023-08-31,02:39:42,2023-08-31,06:39:42,108,km,3.1,Ml
51 km al O de TirÃºa,-38.468 ,-74.051,2023-08-31,01:36:04,2023-08-31,05:36:04,25,km,3.0,Ml
42 km al SO de OllagÃ¼e,-21.577 ,-68.402,2023-08-30,20:41:11,2023-08-31,00:41:11,122,km,3.2,Ml
