evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
65 km al SE de Socaire,-23.978 ,-67.411,2024-05-02,18:51:51,2024-05-02,22:51:51,259,km,3.1,Ml
69 km al NE de Calama,-21.946 ,-68.566,2024-05-02,18:11:11,2024-05-02,22:11:11,123,km,2.7,Ml
87 km al SE de Socaire,-24.172 ,-67.322,2024-05-02,17:41:40,2024-05-02,21:41:40,205,km,3.4,Ml
18 km al NO de Punitaqui,-30.701 ,-71.374,2024-05-02,15:23:15,2024-05-02,19:23:15,62,km,3.2,Ml
33 km al S de Mina Collahuasi,-21.119 ,-68.678,2024-05-02,15:08:28,2024-05-02,19:08:28,142,km,2.5,Ml
66 km al SE de Antofagasta,-24.140 ,-70.060,2024-05-02,14:09:24,2024-05-02,18:09:24,52,km,2.6,Ml
148 km al NO de ConstituciÃ³n,-34.566 ,-73.743,2024-05-02,13:58:02,2024-05-02,17:58:02,32,km,2.7,Ml
79 km al SO de San Pedro de Atacama,-23.461 ,-68.699,2024-05-02,11:48:35,2024-05-02,15:48:35,112,km,2.9,Ml
35 km al O de OllagÃ¼e,-21.248 ,-68.592,2024-05-02,10:53:08,2024-05-02,14:53:08,155,km,2.6,Ml
38 km al NO de Quillagua,-21.365 ,-69.721,2024-05-02,09:48:53,2024-05-02,13:48:53,43,km,2.5,Ml
69 km al SE de Socaire,-24.126 ,-67.549,2024-05-02,08:28:14,2024-05-02,12:28:14,240,km,2.8,Ml
44 km al O de Tocopilla,-22.050 ,-70.622,2024-05-02,06:06:08,2024-05-02,10:06:08,22,km,3.1,Ml
133 km al NO de Taltal,-24.724 ,-71.566,2024-05-02,04:11:29,2024-05-02,08:11:29,12,km,2.6,Ml
34 km al E de Tierra Amarilla,-27.590 ,-69.947,2024-05-02,02:57:42,2024-05-02,06:57:42,96,km,3.9,Ml
23 km al SE de Socaire,-23.687 ,-67.692,2024-05-02,02:25:35,2024-05-02,06:25:35,271,km,2.9,Ml
31 km al O de Lebu,-37.536 ,-73.996,2024-05-02,01:38:39,2024-05-02,05:38:39,22,km,3.7,Ml
70 km al S de Tierra Amarilla,-28.109 ,-70.263,2024-05-02,00:57:11,2024-05-02,04:57:11,99,km,2.8,Ml
41 km al NO de ConcepciÃ³n,-36.483 ,-73.203,2024-05-02,00:01:52,2024-05-02,04:01:52,28,km,3.0,Ml
55 km al NE de Socaire,-23.379 ,-67.398,2024-05-01,22:52:26,2024-05-02,02:52:26,263,km,2.8,Ml
112 km al E de Alto del Carmen,-29.151 ,-69.431,2024-05-01,20:20:42,2024-05-02,00:20:42,119,km,3.3,Ml
74 km al SE de Socaire,-23.932 ,-67.263,2024-05-01,20:16:03,2024-05-02,00:16:03,258,km,3.4,Ml
