evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
38 km al S de Mina Collahuasi,-21.166 ,-68.707,2023-06-19,19:55:02,2023-06-19,23:55:02,114,km,3.1,Ml
35 km al SE de Cuya,-19.337 ,-69.906,2023-06-19,18:29:01,2023-06-19,22:29:01,5,km,3.5,Ml
59 km al O de La Higuera,-29.418 ,-71.804,2023-06-19,18:08:12,2023-06-19,22:08:12,42,km,3.7,Ml
98 km al O de Cobquecura,-35.810 ,-73.807,2023-06-19,16:51:21,2023-06-19,20:51:21,31,km,3.6,Ml
27 km al E de Mina La Escondida.,-24.310 ,-68.798,2023-06-19,14:58:08,2023-06-19,18:58:08,110,km,3.1,Ml
72 km al S de Socaire,-24.229 ,-67.802,2023-06-19,14:55:44,2023-06-19,18:55:44,226,km,3.6,Ml
20 km al S de Mina Los Pelambres,-31.997 ,-70.620,2023-06-19,11:48:21,2023-06-19,15:48:21,122,km,3.8,Ml
23 km al E de Calama,-22.503 ,-68.709,2023-06-19,09:20:16,2023-06-19,13:20:16,102,km,3.1,Ml
51 km al S de OllagÃ¼e,-21.666 ,-68.388,2023-06-19,07:46:13,2023-06-19,11:46:13,136,km,3.0,Ml
41 km al NO de Mejillones,-22.785 ,-70.652,2023-06-19,06:24:36,2023-06-19,10:24:36,29,km,2.9,Ml
68 km al SO de OllagÃ¼e,-21.774 ,-68.539,2023-06-19,05:53:50,2023-06-19,09:53:50,125,km,3.3,Ml
60 km al NE de Calama,-21.995 ,-68.663,2023-06-19,05:32:40,2023-06-19,09:32:40,123,km,3.2,Ml
46 km al SO de OllagÃ¼e,-21.598 ,-68.444,2023-06-19,04:53:27,2023-06-19,08:53:27,131,km,3.0,Ml
47 km al SO de Mina Collahuasi,-21.099 ,-68.998,2023-06-19,03:24:48,2023-06-19,07:24:48,113,km,3.0,Ml
43 km al NE de Calama,-22.149 ,-68.703,2023-06-19,03:18:21,2023-06-19,07:18:21,111,km,2.6,Ml
52 km al S de Mina Collahuasi,-21.268 ,-68.811,2023-06-19,03:02:52,2023-06-19,07:02:52,113,km,2.5,Ml
52 km al O de San Pedro de Atacama,-22.954 ,-68.706,2023-06-19,02:09:13,2023-06-19,06:09:13,92,km,2.7,Ml
46 km al NO de ValparaÃ­so,-32.676 ,-71.825,2023-06-19,00:03:41,2023-06-19,04:03:41,24,km,2.7,Ml
38 km al N de ValparaÃ­so,-32.723 ,-71.726,2023-06-18,23:58:25,2023-06-19,03:58:25,27,km,3.4,Ml
46 km al E de Calama,-22.520 ,-68.486,2023-06-18,23:20:24,2023-06-19,03:20:24,114,km,2.5,Ml
20 km al SO de Calama,-22.630 ,-69.010,2023-06-18,22:23:09,2023-06-19,02:23:09,127,km,4.8,Mw
45 km al S de Mina Collahuasi,-21.210 ,-68.809,2023-06-18,20:32:01,2023-06-19,00:32:01,119,km,2.9,Ml
