evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
23 km al N de Rancagua,-33.962 ,-70.756,2023-06-23,19:16:46,2023-06-23,23:16:46,87,km,3.4,Ml
79 km al N de Calama,-21.789 ,-68.722,2023-06-23,18:52:27,2023-06-23,22:52:27,116,km,2.6,Ml
7 km al NE de La Serena,-29.848 ,-71.219,2023-06-23,18:51:12,2023-06-23,22:51:12,46,km,3.0,Ml
48 km al NE de Calama,-22.088 ,-68.703,2023-06-23,18:26:13,2023-06-23,22:26:13,128,km,2.5,Ml
81 km al SE de Socaire,-24.137 ,-67.363,2023-06-23,17:48:17,2023-06-23,21:48:17,176,km,3.2,Ml
34 km al N de Sierra Gorda.,-22.597 ,-69.290,2023-06-23,17:08:04,2023-06-23,21:08:04,80,km,3.0,Ml
87 km al SO de Mina La Escondida.,-24.887 ,-69.586,2023-06-23,16:43:49,2023-06-23,20:43:49,77,km,4.1,Ml
79 km al S de Antofagasta,-24.346 ,-70.291,2023-06-23,15:54:33,2023-06-23,19:54:33,49,km,2.5,Ml
23 km al NO de La Serena,-29.716 ,-71.366,2023-06-23,15:23:20,2023-06-23,19:23:20,52,km,2.5,Ml
59 km al SE de Putre,-18.688 ,-69.339,2023-06-23,13:24:24,2023-06-23,17:24:24,116,km,2.6,Ml
43 km al SO de Los Vilos,-32.173 ,-71.852,2023-06-23,10:50:26,2023-06-23,14:50:26,50,km,2.9,Ml
91 km al E de Socaire,-23.307 ,-67.055,2023-06-23,08:43:59,2023-06-23,12:43:59,246,km,2.9,Ml
59 km al SE de Socaire,-23.838 ,-67.376,2023-06-23,07:12:16,2023-06-23,11:12:16,255,km,3.3,Ml
2 km al SE de CamiÃ±a,-19.322 ,-69.414,2023-06-23,06:19:50,2023-06-23,10:19:50,96,km,2.6,Ml
45 km al O de San Pedro de Atacama,-22.921 ,-68.642,2023-06-23,06:15:33,2023-06-23,10:15:33,116,km,2.5,Ml
32 km al O de La Serena,-29.857 ,-71.582,2023-06-23,05:57:54,2023-06-23,09:57:54,63,km,2.8,Ml
21 km al O de Socaire,-23.583 ,-68.098,2023-06-23,04:11:58,2023-06-23,08:11:58,134,km,3.1,Ml
35 km al SE de Lebu,-37.760 ,-73.308,2023-06-23,03:12:03,2023-06-23,07:12:03,50,km,3.1,Ml
68 km al SE de Socaire,-23.953 ,-67.353,2023-06-23,03:06:24,2023-06-23,07:06:24,241,km,3.0,Ml
72 km al S de Ilo,-18.287 ,-71.274,2023-06-23,02:06:43,2023-06-23,06:06:43,5,km,2.8,Mlv
23 km al NO de Colina,-33.022 ,-70.782,2023-06-23,00:05:53,2023-06-23,04:05:53,79,km,2.9,Ml
31 km al O de Mina Collahuasi,-20.719 ,-68.934,2023-06-22,23:42:39,2023-06-23,03:42:39,104,km,2.6,Ml
29 km al NO de OllagÃ¼e,-21.083 ,-68.485,2023-06-22,21:40:21,2023-06-23,01:40:21,134,km,3.4,Ml
