evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
31 km al SE de Termas del Flaco,-35.174 ,-70.225,2023-06-13,17:24:48,2023-06-13,21:24:48,163,km,3.0,Ml
46 km al SO de Taltal,-25.793 ,-70.659,2023-06-13,11:00:05,2023-06-13,15:00:05,37,km,2.7,Ml
8 km al N de Huasco,-28.397 ,-71.217,2023-06-13,09:19:16,2023-06-13,13:19:16,50,km,3.2,Ml
32 km al SO de Mina Collahuasi,-20.976 ,-68.919,2023-06-13,06:31:56,2023-06-13,10:31:56,103,km,2.6,Ml
48 km al SO de Mina Collahuasi,-21.131 ,-68.982,2023-06-13,05:47:28,2023-06-13,09:47:28,110,km,2.7,Ml
188 km al NO de ConstituciÃ³n,-34.420 ,-74.145,2023-06-13,04:21:16,2023-06-13,08:21:16,15,km,3.2,Ml
38 km al SO de Mina Collahuasi,-20.970 ,-68.986,2023-06-13,03:58:57,2023-06-13,07:58:57,108,km,2.8,Ml
44 km al E de Sierra Gorda.,-22.920 ,-68.887,2023-06-13,03:35:17,2023-06-13,07:35:17,103,km,3.0,Ml
40 km al SE de Pica,-20.815 ,-69.172,2023-06-13,01:47:46,2023-06-13,05:47:46,109,km,2.6,Ml
53 km al NO de Valdivia,-39.539 ,-73.750,2023-06-13,00:44:37,2023-06-13,04:44:37,37,km,2.8,Ml
54 km al SO de Tongoy,-30.482 ,-71.997,2023-06-12,20:29:27,2023-06-13,00:29:27,32,km,2.6,Ml
