evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
33 km al SO de Pichilemu,-34.540 ,-72.316,2024-08-11,19:46:05,2024-08-11,23:46:05,32,km,2.5,Ml
48 km al NO de Tocopilla,-21.748 ,-70.486,2024-08-11,19:42:57,2024-08-11,23:42:57,30,km,3.7,Ml
30 km al SO de OllagÃ¼e,-21.410 ,-68.467,2024-08-11,19:41:49,2024-08-11,23:41:49,129,km,3.1,Ml
121 km al NO de Pichilemu,-33.844 ,-73.144,2024-08-11,19:09:46,2024-08-11,23:09:46,28,km,2.7,Ml
32 km al SE de La Ligua,-32.623 ,-70.955,2024-08-11,17:01:29,2024-08-11,21:01:29,76,km,3.1,Ml
40 km al NE de Calama,-22.234 ,-68.638,2024-08-11,16:28:19,2024-08-11,20:28:19,123,km,3.0,Ml
66 km al N de Calama,-21.900 ,-68.759,2024-08-11,15:18:50,2024-08-11,19:18:50,122,km,2.8,Ml
18 km al E de MarÃ­a Elena,-22.287 ,-69.503,2024-08-11,15:11:51,2024-08-11,19:11:51,83,km,3.3,Ml
40 km al E de Pica,-20.593 ,-68.964,2024-08-11,14:24:32,2024-08-11,18:24:32,96,km,2.5,Ml
71 km al N de Calama,-21.864 ,-68.714,2024-08-11,14:12:00,2024-08-11,18:12:00,116,km,2.5,Ml
20 km al SE de Parque Fray Jorge,-30.772 ,-71.518,2024-08-11,12:21:16,2024-08-11,16:21:16,70,km,4.9,Mw
24 km al SO de CamiÃ±a,-19.499 ,-69.548,2024-08-11,11:06:27,2024-08-11,15:06:27,85,km,2.5,Ml
71 km al SE de Socaire,-24.034 ,-67.393,2024-08-11,11:02:32,2024-08-11,15:02:32,185,km,3.6,Ml
29 km al NO de Tongoy,-30.038 ,-71.659,2024-08-11,10:55:41,2024-08-11,14:55:41,30,km,3.3,Ml
29 km al NO de Tongoy,-30.043 ,-71.673,2024-08-11,10:53:23,2024-08-11,14:53:23,34,km,2.6,Ml
37 km al NO de Mina Collahuasi,-20.618 ,-68.930,2024-08-11,09:25:27,2024-08-11,13:25:27,104,km,3.1,Ml
149 km al NO de ConstituciÃ³n,-34.518 ,-73.715,2024-08-11,09:22:41,2024-08-11,13:22:41,15,km,2.7,Ml
51 km al S de Mina Collahuasi,-21.264 ,-68.802,2024-08-11,08:59:50,2024-08-11,12:59:50,125,km,3.4,Ml
44 km al E de CombarbalÃ¡,-31.239 ,-70.540,2024-08-11,08:14:27,2024-08-11,12:14:27,124,km,3.4,Ml
74 km al NE de Calama,-21.874 ,-68.616,2024-08-11,07:43:01,2024-08-11,11:43:01,121,km,2.8,Ml
128 km al O de TirÃºa,-38.522 ,-74.940,2024-08-11,06:43:26,2024-08-11,10:43:26,26,km,3.2,Ml
71 km al NE de Pica,-19.995 ,-68.907,2024-08-11,04:16:22,2024-08-11,08:16:22,110,km,2.8,Ml
53 km al NE de OllagÃ¼e,-20.799 ,-68.033,2024-08-10,21:09:06,2024-08-11,01:09:06,182,km,3.8,Ml
