evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
37 km al NE de Pica,-20.333 ,-69.018,2024-04-20,18:46:07,2024-04-20,22:46:07,103,km,2.8,Ml
44 km al N de Baquedano,-22.940 ,-69.849,2024-04-20,17:07:17,2024-04-20,21:07:17,64,km,2.5,Ml
35 km al S de Pica,-20.791 ,-69.243,2024-04-20,15:46:29,2024-04-20,19:46:29,104,km,2.6,Ml
11 km al O de Cabrero,-37.003 ,-72.516,2024-04-20,14:23:45,2024-04-20,18:23:45,85,km,3.4,Ml
44 km al S de OllagÃ¼e,-21.605 ,-68.369,2024-04-20,12:54:09,2024-04-20,16:54:09,124,km,3.7,Ml
59 km al O de Castro,-42.725 ,-74.408,2024-04-20,12:42:38,2024-04-20,16:42:38,8,km,2.8,Ml
50 km al E de Calama,-22.443 ,-68.443,2024-04-20,09:59:56,2024-04-20,13:59:56,122,km,2.7,Ml
46 km al O de Mina Collahuasi,-20.935 ,-69.089,2024-04-20,06:02:37,2024-04-20,10:02:37,102,km,3.1,Ml
43 km al SO de Los Vilos,-32.264 ,-71.691,2024-04-20,05:25:07,2024-04-20,09:25:07,12,km,2.6,Ml
51 km al SO de Los Vilos,-32.274 ,-71.842,2024-04-20,05:19:15,2024-04-20,09:19:15,24,km,3.0,Ml
70 km al SO de OllagÃ¼e,-21.760 ,-68.618,2024-04-20,05:09:27,2024-04-20,09:09:27,94,km,2.6,Ml
55 km al SO de Mina Collahuasi,-21.275 ,-68.882,2024-04-20,04:01:52,2024-04-20,08:01:52,110,km,2.7,Ml
40 km al O de Pica,-20.614 ,-69.691,2024-04-20,03:06:16,2024-04-20,07:06:16,38,km,2.7,Ml
39 km al SE de Mina La Escondida.,-24.591 ,-68.912,2024-04-20,02:28:59,2024-04-20,06:28:59,112,km,3.1,Ml
23 km al O de Ovalle,-30.604 ,-71.446,2024-04-20,02:23:28,2024-04-20,06:23:28,52,km,3.7,Ml
101 km al SE de Socaire,-23.982 ,-66.992,2024-04-20,00:28:53,2024-04-20,04:28:53,188,km,3.1,Ml
35 km al O de El Tabo,-33.353 ,-72.025,2024-04-19,23:54:30,2024-04-20,03:54:30,36,km,2.7,Ml
50 km al O de Pisagua,-19.587 ,-70.694,2024-04-19,23:30:32,2024-04-20,03:30:32,19,km,2.9,Ml
40 km al SO de Huasco,-28.767 ,-71.445,2024-04-19,22:39:19,2024-04-20,02:39:19,38,km,3.6,Ml
31 km al S de OllagÃ¼e,-21.504 ,-68.280,2024-04-19,20:48:01,2024-04-20,00:48:01,140,km,3.1,Ml
74 km al O de Uyuni,-20.326 ,-67.516,2024-04-19,20:46:48,2024-04-20,00:46:48,236,km,3.1,Ml
