evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
40 km al SE de Sierra Gorda.,-23.145 ,-69.026,2024-04-28,19:52:52,2024-04-28,23:52:52,91,km,2.7,Ml
46 km al O de Mina Collahuasi,-20.849 ,-69.100,2024-04-28,19:26:38,2024-04-28,23:26:38,110,km,3.8,Ml
70 km al S de Socaire,-24.220 ,-67.865,2024-04-28,19:22:21,2024-04-28,23:22:21,232,km,3.9,Ml
41 km al NE de Calama,-22.177 ,-68.684,2024-04-28,17:31:26,2024-04-28,21:31:26,46,km,3.0,Ml
62 km al NE de Calama,-21.959 ,-68.689,2024-04-28,16:20:18,2024-04-28,20:20:18,106,km,4.7,Mw
75 km al NE de Socaire,-23.140 ,-67.337,2024-04-28,16:16:42,2024-04-28,20:16:42,246,km,3.2,Ml
31 km al NO de Mina Collahuasi,-20.600 ,-68.835,2024-04-28,15:31:30,2024-04-28,19:31:30,115,km,4.7,Mw
49 km al O de OllagÃ¼e,-21.295 ,-68.721,2024-04-28,13:33:50,2024-04-28,17:33:50,120,km,3.0,Ml
37 km al N de Mejillones,-22.772 ,-70.479,2024-04-28,13:26:06,2024-04-28,17:26:06,29,km,2.5,Ml
33 km al NO de La Higuera,-29.295 ,-71.428,2024-04-28,13:13:11,2024-04-28,17:13:11,33,km,2.7,Ml
51 km al SO de OllagÃ¼e,-21.504 ,-68.646,2024-04-28,12:10:58,2024-04-28,16:10:58,123,km,2.6,Ml
18 km al S de San JosÃ© de Maipo,-33.799 ,-70.302,2024-04-28,09:50:20,2024-04-28,13:50:20,106,km,3.5,Ml
37 km al O de Quillagua,-21.527 ,-69.861,2024-04-28,09:45:49,2024-04-28,13:45:49,24,km,2.5,Ml
50 km al SO de Mina Collahuasi,-21.094 ,-69.039,2024-04-28,07:45:55,2024-04-28,11:45:55,109,km,2.5,Ml
45 km al NE de Calama,-22.179 ,-68.632,2024-04-27,23:46:09,2024-04-28,03:46:09,135,km,2.9,Ml
11 km al S de Baquedano,-23.434 ,-69.859,2024-04-27,22:46:54,2024-04-28,02:46:54,71,km,2.5,Ml
38 km al E de Sierra Gorda.,-22.981 ,-68.955,2024-04-27,21:13:16,2024-04-28,01:13:16,109,km,2.7,Ml
