evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
55 km al O de Tongoy,-30.201 ,-72.064,2024-03-16,16:21:07,2024-03-16,19:21:07,41,km,3.0,Ml
43 km al NO de Quillagua,-21.398 ,-69.841,2024-03-16,16:16:03,2024-03-16,19:16:03,42,km,3.8,Ml
54 km al SE de Socaire,-23.895 ,-67.476,2024-03-16,12:40:16,2024-03-16,15:40:16,263,km,2.9,Ml
20 km al N de La Serena,-29.728 ,-71.204,2024-03-16,12:19:24,2024-03-16,15:19:24,52,km,3.0,Ml
79 km al SE de Socaire,-24.241 ,-67.588,2024-03-16,12:13:49,2024-03-16,15:13:49,245,km,3.4,Ml
38 km al NO de ValparaÃ­so,-32.761 ,-71.842,2024-03-16,11:26:10,2024-03-16,14:26:10,24,km,2.5,Ml
49 km al NE de Vallenar,-28.258 ,-70.414,2024-03-16,09:57:00,2024-03-16,12:57:00,92,km,2.5,Ml
76 km al SE de Socaire,-24.228 ,-67.621,2024-03-16,09:41:18,2024-03-16,12:41:18,223,km,3.7,Ml
114 km al O de ValparaÃ­so,-32.932 ,-72.833,2024-03-16,08:09:46,2024-03-16,11:09:46,20,km,3.0,Ml
100 km al NE de Alto del Carmen,-28.283 ,-69.613,2024-03-16,07:59:21,2024-03-16,10:59:21,112,km,3.4,Ml
53 km al NE de Calama,-22.095 ,-68.607,2024-03-16,07:35:18,2024-03-16,10:35:18,128,km,3.4,Ml
87 km al SE de Socaire,-24.055 ,-67.198,2024-03-16,06:38:29,2024-03-16,09:38:29,226,km,3.9,Ml
76 km al SO de OllagÃ¼e,-21.839 ,-68.577,2024-03-16,06:14:59,2024-03-16,09:14:59,132,km,2.6,Ml
26 km al E de Linares,-35.865 ,-71.316,2024-03-16,03:34:55,2024-03-16,06:34:55,105,km,2.9,Ml
101 km al SE de Tierra Amarilla,-28.179 ,-69.603,2024-03-16,03:07:36,2024-03-16,06:07:36,96,km,3.1,Ml
29 km al SO de Mina Collahuasi,-20.974 ,-68.893,2024-03-15,23:19:57,2024-03-16,02:19:57,110,km,2.6,Ml
42 km al O de Fresia,-41.186 ,-73.923,2024-03-15,23:04:33,2024-03-16,02:04:33,41,km,2.7,Ml
123 km al NE de Socaire,-22.873 ,-66.970,2024-03-15,21:21:19,2024-03-16,00:21:19,211,km,3.1,Ml
