evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
62 km al S de Alto Hospicio,-20.821 ,-70.019,2023-12-30,20:15:29,2023-12-30,23:15:29,73,km,2.5,Ml
44 km al S de Mina Collahuasi,-21.212 ,-68.774,2023-12-30,16:36:31,2023-12-30,19:36:31,117,km,2.9,Ml
39 km al SE de Pica,-20.804 ,-69.161,2023-12-30,16:20:59,2023-12-30,19:20:59,113,km,2.7,Ml
24 km al N de Calama,-22.256 ,-68.958,2023-12-30,12:23:16,2023-12-30,15:23:16,129,km,2.6,Ml
66 km al SO de Tongoy,-30.579 ,-72.072,2023-12-30,11:58:23,2023-12-30,14:58:23,49,km,3.2,Ml
56 km al SE de Socaire,-23.904 ,-67.465,2023-12-30,09:02:29,2023-12-30,12:02:29,258,km,3.6,Ml
74 km al S de OllagÃ¼e,-21.880 ,-68.387,2023-12-30,04:53:58,2023-12-30,07:53:58,126,km,3.2,Ml
32 km al N de Pica,-20.213 ,-69.232,2023-12-30,04:46:11,2023-12-30,07:46:11,97,km,4.2,Ml
33 km al O de Mina Collahuasi,-20.907 ,-68.960,2023-12-30,01:23:42,2023-12-30,04:23:42,107,km,2.5,Ml
60 km al SE de Socaire,-23.963 ,-67.464,2023-12-30,00:54:56,2023-12-30,03:54:56,214,km,3.7,Ml
93 km al SE de Socaire,-24.266 ,-67.344,2023-12-29,23:38:05,2023-12-30,02:38:05,191,km,3.7,Ml
