evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
77 km al E de Socaire,-23.847 ,-67.191,2023-12-18,19:04:27,2023-12-18,22:04:27,209,km,3.0,Ml
7 km al SO de Antofagasta,-23.693 ,-70.452,2023-12-18,17:28:38,2023-12-18,20:28:38,55,km,3.2,Ml
66 km al S de Socaire,-24.161 ,-67.713,2023-12-18,15:20:27,2023-12-18,18:20:27,268,km,3.6,Ml
85 km al NO de ChaÃ±aral.,-25.889 ,-71.308,2023-12-18,14:30:42,2023-12-18,17:30:42,29,km,3.0,Ml
25 km al NO de OllagÃ¼e,-21.126 ,-68.472,2023-12-18,14:12:32,2023-12-18,17:12:32,155,km,3.0,Ml
43 km al NE de La Higuera,-29.253 ,-70.870,2023-12-18,12:56:12,2023-12-18,15:56:12,78,km,3.2,Ml
61 km al O de OllagÃ¼e,-21.381 ,-68.816,2023-12-18,12:51:28,2023-12-18,15:51:28,118,km,3.3,Ml
45 km al NO de CamiÃ±a,-18.998 ,-69.688,2023-12-18,12:20:48,2023-12-18,15:20:48,66,km,2.5,Ml
56 km al O de OllagÃ¼e,-21.373 ,-68.774,2023-12-18,12:17:39,2023-12-18,15:17:39,108,km,3.5,Ml
40 km al O de Mina Collahuasi,-20.839 ,-69.044,2023-12-18,12:00:32,2023-12-18,15:00:32,115,km,2.5,Ml
62 km al S de Socaire,-24.144 ,-67.792,2023-12-18,10:53:22,2023-12-18,13:53:22,236,km,2.9,Ml
20 km al SE de Socaire,-23.751 ,-67.810,2023-12-18,07:57:13,2023-12-18,10:57:13,234,km,3.0,Ml
119 km al O de Lebu,-37.846 ,-74.975,2023-12-18,07:53:36,2023-12-18,10:53:36,8,km,3.1,Ml
28 km al O de San Pedro de Atacama,-22.955 ,-68.474,2023-12-18,07:01:05,2023-12-18,10:01:05,153,km,2.9,Ml
69 km al S de Socaire,-24.184 ,-68.095,2023-12-18,06:14:00,2023-12-18,09:14:00,282,km,3.3,Ml
59 km al SO de Taltal,-25.678 ,-70.990,2023-12-18,05:41:56,2023-12-18,08:41:56,39,km,2.6,Ml
71 km al S de Socaire,-24.205 ,-67.712,2023-12-18,05:31:09,2023-12-18,08:31:09,245,km,3.2,Ml
97 km al SE de OllagÃ¼e,-21.693 ,-67.458,2023-12-18,05:19:23,2023-12-18,08:19:23,282,km,3.2,Ml
57 km al SE de Socaire,-24.041 ,-67.633,2023-12-18,05:18:09,2023-12-18,08:18:09,240,km,3.1,Ml
49 km al NE de San Pedro de Atacama,-22.568 ,-67.907,2023-12-18,03:51:35,2023-12-18,06:51:35,164,km,4.7,Mw
98 km al NE de San Pedro de Atacama,-22.144 ,-67.756,2023-12-18,02:53:31,2023-12-18,05:53:31,213,km,2.7,Ml
57 km al SO de OllagÃ¼e,-21.679 ,-68.508,2023-12-18,01:29:33,2023-12-18,04:29:33,123,km,3.1,Ml
77 km al SE de Socaire,-24.139 ,-67.429,2023-12-18,01:06:35,2023-12-18,04:06:35,219,km,2.8,Ml
26 km al SE de CamiÃ±a,-19.498 ,-69.272,2023-12-18,00:25:21,2023-12-18,03:25:21,98,km,3.7,Ml
31 km al O de OllagÃ¼e,-21.173 ,-68.547,2023-12-18,00:10:35,2023-12-18,03:10:35,118,km,2.6,Ml
34 km al O de Mina Collahuasi,-20.730 ,-68.963,2023-12-17,23:46:43,2023-12-18,02:46:43,104,km,2.8,Ml
65 km al S de Caldera,-27.620 ,-71.051,2023-12-17,22:28:35,2023-12-18,01:28:35,24,km,3.5,Ml
